AuthorID,Author,Date,Content,Attachments,Reactions
"1327306698838245499","k1mcchii","2025-09-13T13:34:14.1740000+00:00","Dunia Permabaran game full emosi","https://cdn.discordapp.com/attachments/1416416688022487060/1416416688685060258/IMG_5466.jpg?ex=69966896&is=69951716&hm=14064b77f1be113b37666be8f94dfef6a7123aaa926e761e06d4e6a472232280&",""
"1327306698838245499","k1mcchii","2025-09-13T13:34:47.9780000+00:00","kocak kena warn","",""
"1327306698838245499","k1mcchii","2025-09-13T13:34:56.1150000+00:00","buat mabar nanti disini aja kali ya","",""
"736550209068335135",".ayab","2025-09-13T13:35:34.8420000+00:00","Ml berapa giga sekarang?","",""
"254261633252196353","chrysal","2025-09-13T13:36:36.0110000+00:00","Ok","",""
"366150574753710082","sukokin","2025-09-13T13:37:01.7410000+00:00","","https://cdn.discordapp.com/attachments/1416416688022487060/1416417390656225454/Screenshot_2025-09-13-20-36-35-631_com.mobile.legends.jpg?ex=6996693d&is=699517bd&hm=38cd76ea2c9ac016573019ac134aa604ecbf4f34363cea8c50afa4fd1b237c8d&",""
"563984376585781268","rsnz09","2025-09-13T13:37:52.1860000+00:00","awkwkwkwkkw","",""
"563984376585781268","rsnz09","2025-09-13T13:38:09.0250000+00:00","7 kira kira, lupa aku","",""
"736550209068335135",".ayab","2025-09-13T13:39:21.8450000+00:00","Plus update?","",""
"563984376585781268","rsnz09","2025-09-13T13:46:56.8100000+00:00","yea","",""
"563984376585781268","rsnz09","2025-09-13T13:47:03.3910000+00:00","and skin assets","",""
"254261633252196353","chrysal","2025-09-13T13:49:19.8400000+00:00","Njir hape baru","",""
"563984376585781268","rsnz09","2025-09-13T13:49:55.8080000+00:00","2","",""
"366150574753710082","sukokin","2025-09-13T13:50:21.0990000+00:00","Yeaa","",""
"688330999725293758","noxsiduss","2025-09-13T13:51:37.7370000+00:00","AOWKWOKWWKKW","",""
"736550209068335135",".ayab","2025-09-13T13:54:26.9430000+00:00","Wait ini kan rival","",""
"736550209068335135",".ayab","2025-09-13T13:54:36.5650000+00:00","Atau alliansi?","",""
"688330999725293758","noxsiduss","2025-09-13T13:55:02.0730000+00:00","mksdnya?","",""
"563984376585781268","rsnz09","2025-09-13T13:58:00.0180000+00:00","??","",""
"563984376585781268","rsnz09","2025-09-13T13:58:03.3280000+00:00","rival?","",""
"563984376585781268","rsnz09","2025-09-13T13:58:05.4160000+00:00","aliansi?","",""
"563984376585781268","rsnz09","2025-09-13T13:59:27.8790000+00:00","@Kim","",""
"563984376585781268","rsnz09","2025-09-13T13:59:32.3380000+00:00","itu sama temen lu?","",""
"1327306698838245499","k1mcchii","2025-09-13T14:00:02.0820000+00:00","iyak","",""
"1327306698838245499","k1mcchii","2025-09-13T14:00:03.3890000+00:00","sama temen","",""
"563984376585781268","rsnz09","2025-09-13T14:01:01.5280000+00:00","okk","",""
"1327306698838245499","k1mcchii","2025-09-13T14:22:03.9670000+00:00","-1 @NoxSidus","",""
"563984376585781268","rsnz09","2025-09-13T14:40:30.5440000+00:00","nyerah gw @Kim","",""
"1327306698838245499","k1mcchii","2025-09-13T14:41:24.2450000+00:00","dongkol bet hyper saber","",""
"1327306698838245499","k1mcchii","2025-09-13T14:41:26.9080000+00:00","pea satpam","",""
"254261633252196353","chrysal","2025-09-13T14:41:36.3320000+00:00",":pepekek:","",""
"1327306698838245499","k1mcchii","2025-09-13T14:41:43.4600000+00:00","abis ni lanjut dah","",""
"1327306698838245499","k1mcchii","2025-09-13T14:41:44.8550000+00:00","mandi dulu","",""
"688330999725293758","noxsiduss","2025-09-13T19:16:00.3820000+00:00","waduh ketiduran aku le","",""
"1327306698838245499","k1mcchii","2025-09-14T04:56:43.3550000+00:00","ga lagi lagi mabar sm yg make martis kemaren","",""
"1327306698838245499","k1mcchii","2025-09-14T04:56:45.5930000+00:00","gila war","",""
"1327306698838245499","k1mcchii","2025-09-14T04:56:47.3190000+00:00","capek","",""
"563984376585781268","rsnz09","2025-09-14T05:03:53.6670000+00:00","nguwawor cik","",""
"563984376585781268","rsnz09","2025-09-14T05:03:57.9530000+00:00","capek jir","",""
"254261633252196353","chrysal","2025-09-14T08:51:42.6720000+00:00","Kayanya banya antik2 ya wkakaka","",""
"563984376585781268","rsnz09","2025-09-14T09:32:19.0900000+00:00","martisnya ngawur bat anjir mainnya","",""
"563984376585781268","rsnz09","2025-09-14T09:32:20.1070000+00:00","akwkwkwkwk","",""
"563984376585781268","rsnz09","2025-09-14T09:32:24.6830000+00:00","kek 2 v8","",""
"563984376585781268","rsnz09","2025-09-14T09:32:27.3830000+00:00","jujur aja","",""
"563984376585781268","rsnz09","2025-09-14T09:32:39.2930000+00:00","3 kawan kim tu rada rada mainnya jir","",""
