AuthorID,Author,Date,Content,Attachments,Reactions
"412926738298044431","jaxxxxxxyyyy","2025-12-09T05:36:02.7070000+00:00","Basically just creating this platform so people can discuss about their hobbies in mangas, manhwas and manhuas. Recommendations, reading list, and other things can be discussed here too.","",""
"983629435850854441","ukrainumedved","2025-12-09T05:36:36.2670000+00:00","wait what is mahwa again?","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-09T05:36:36.6650000+00:00","@NoxSidus @arsenz. | yearning shotgun","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-09T05:36:41.8020000+00:00","Korean comics","",""
"983629435850854441","ukrainumedved","2025-12-09T05:36:53.5720000+00:00","but theres manhua","",""
"983629435850854441","ukrainumedved","2025-12-09T05:36:59.3320000+00:00","korean stories","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-09T05:37:01.5120000+00:00","Manhua is Chinese comic","",""
"983629435850854441","ukrainumedved","2025-12-09T05:37:11.6350000+00:00","WAIT, IVE BEEN LIED- NOO","",""
"983629435850854441","ukrainumedved","2025-12-09T05:37:12.8120000+00:00","wait","",""
"983629435850854441","ukrainumedved","2025-12-09T05:37:14.4700000+00:00","ohhh","",""
"983629435850854441","ukrainumedved","2025-12-09T05:37:16.4400000+00:00","baru tau","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-09T05:37:31.1930000+00:00","Yeah, you can have a Manhwa that discussed Chinese historical themes, and Manhuas that discussed about Korean historical themes","",""
"983629435850854441","ukrainumedved","2025-12-09T05:37:53.8250000+00:00","is Mahwa actually Mahwa or is it a misspelling from ""Manhwa""","",""
"983629435850854441","ukrainumedved","2025-12-09T05:38:13.9330000+00:00","ohh","",""
"983629435850854441","ukrainumedved","2025-12-09T05:38:17.6670000+00:00","beda semua","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-09T05:38:54.2350000+00:00","Oh yeah, typo, it should be manhwa","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-09T05:39:14.6230000+00:00","Changed the channel name: Mabased Manga, Manhwa and Manhua","","⭐ (1)"
"983629435850854441","ukrainumedved","2025-12-09T05:39:41.0120000+00:00","wait","",""
