AuthorID,Author,Date,Content,Attachments,Reactions
"1064369916351889448","fellowmen","2025-03-25T02:06:05.6230000+00:00","Moslem Chindo is the next ubermensch","",""
"265355459454566402","shiawase6946","2025-03-25T08:00:40.8900000+00:00","What is this 🤣","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-25T08:04:20.3590000+00:00","Me as a Chindo Christian seeing this:","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-25T08:04:32.7050000+00:00","https://tenor.com/view/stare-christian-bale-handsome-gif-13379950","",""
"267957882635419649","notforheroes","2025-03-25T08:08:30.9250000+00:00","tf is this","",""
"1064369916351889448","fellowmen","2025-03-25T08:17:29.1250000+00:00","I envision, what kind of person who will lead this country. And that is Moslem Chindo with Military Background. But before he enlist in military, he already studied in one of ivy league","",""
"1064369916351889448","fellowmen","2025-03-25T08:17:53.3830000+00:00","Those three traits is rare to be found in nowadays","",""
"1064369916351889448","fellowmen","2025-03-25T08:18:50.0540000+00:00","I just created the impossible DND character","",""
"1079558513291964536","huhu_matcha","2025-03-25T10:24:58.0300000+00:00","How about this.. Chindo who’s 1/5th Christian, 1/5th Catholic, 1/5th Buddhist, 1/5th Muslim, 1/5th Hindu. True Pancasila vibes","",""
"1079558513291964536","huhu_matcha","2025-03-25T10:26:25.7540000+00:00","I prefer someone with real world professional experience at, for e.g. top notch political think tanks, instead of Ivy League.
Having Ivy League doesn’t guarantee that the person is smart enough to handle politics.

Bookish smart doesn’t always translate to real world smarts.","",""
"1064369916351889448","fellowmen","2025-03-25T10:32:31.9200000+00:00","It is, but it's good for his background tbh","",""
"1064369916351889448","fellowmen","2025-03-25T10:33:47.4540000+00:00","This guy will break any cultural barrier on Indonesia. He is the one guys","",""
"235101362956795904","mazeltof404","2025-03-25T10:46:21.7120000+00:00","Bapak cina kristen, ibu jawa islam. Sempat psantren sbelum masuk sma buddha, kuliah di Atma.","","🔥 (2)"
"1064369916351889448","fellowmen","2025-03-25T10:49:32.7740000+00:00","Nice background narrative","",""
"235101362956795904","mazeltof404","2025-03-25T10:50:44.0550000+00:00","Plot twist bapak ibu cerai","",""
"1064369916351889448","fellowmen","2025-03-25T10:51:40.1740000+00:00","Merasa confused, daftar akmil tapi di tolak","",""
"1064369916351889448","fellowmen","2025-03-25T10:51:53.1140000+00:00","Kuliah dulu di atma, sekos sama orang hindu","",""
"235101362956795904","mazeltof404","2025-03-25T10:52:13.5430000+00:00","Building the arc","",""
"235101362956795904","mazeltof404","2025-03-25T10:52:32.7090000+00:00","https://tenor.com/view/fire-writing-gif-2088247993237804628","",""
"1079558513291964536","huhu_matcha","2025-03-25T10:53:02.2580000+00:00","This is the script for an Indo movie - Captain Indonesia.. 
Kapiten Indonesia?","",""
"235101362956795904","mazeltof404","2025-03-25T10:53:11.8160000+00:00","Usai kuliah sudah sempat naik haji?","",""
"1079558513291964536","huhu_matcha","2025-03-25T10:54:01.6450000+00:00","Naik haji + 
semedi dgn Dalai Lama","",""
"1064369916351889448","fellowmen","2025-03-25T10:54:09.6980000+00:00","Chindo Muslim- the true ubermensch. Satrio Piningit","",""
"1064369916351889448","fellowmen","2025-03-25T10:54:33.7180000+00:00","Kalo udah semedi sama dalai lama harusnya udah malas ke Indo ga sih wk","",""
"235101362956795904","mazeltof404","2025-03-25T10:55:19.3580000+00:00","Wah ada plot krisis iman","",""
"235101362956795904","mazeltof404","2025-03-25T10:55:34.8270000+00:00","This is it, chindo paling ubermensch","",""
"265355459454566402","shiawase6946","2025-03-25T10:55:49.3580000+00:00","Holy shit. I hope the character will not kill himself before he become ubermensch","",""
"1079558513291964536","huhu_matcha","2025-03-25T10:57:03.7500000+00:00","Ga.. krn kangen ayam goreng + nasi KFC","",""
"1064369916351889448","fellowmen","2025-03-25T11:04:15.8860000+00:00","Sean gelael secret recipe? Ofcourse","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-25T12:08:30.3610000+00:00","Tbh you don't need a rich background to make yourself true Human Pancasila, it simply comes to the fact that you will not care about anyone on their gender, ethnic and religion. As you saw them as nothing more as Indonesian as you do. Not more, not less, just as equal as you are.","",""
"1064369916351889448","fellowmen","2025-03-26T05:05:28.2760000+00:00","this is idealized version, the ultimate ubermensch. heck this is for united states of SEA","",""
