AuthorID,Author,Date,Content,Attachments,Reactions
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:11:57.4020000+00:00","Rather than actually protesting in one single place then make a huge crowd just to make a long lasting protest in a single night, it is more important to protest using hit and run tactics while relocating from places to places in order to create a continous presence to pressure the government.","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:12:18.8060000+00:00","To start off, I heavily advise people to read my post in #deleted-channel","",""
"891545423238537236","murzzbow","2025-08-29T02:12:30.4450000+00:00","di-tag aja ya mau diskusi disini ya @Jax @rxse (rose!) @unforTUNAtely","","👍 (2)"
"812158732515541012","rxsebud","2025-08-29T02:12:40.1620000+00:00","hii","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:12:54.0400000+00:00","Which actually explains a few of my points regarding how dissident groups operated","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:13:10.2470000+00:00","Argentinian demonstrators are some of the most effective protesters or guerilla rebels back in their own days","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:13:28.1260000+00:00","A few of them created cells and underground organizations","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:13:40.4830000+00:00","In order to have memberships while rallying them to a protest when needed","",""
"812158732515541012","rxsebud","2025-08-29T02:13:52.2110000+00:00","or a march, rather than thousands standing still, running around in one place, something like the BLM march in America back in 2020-ish","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:14:09.2400000+00:00","Though we can dismantle the part where they do violence, we can learn from how they mobilize then disperse fairly quickly to avoid casualties","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:14:29.6800000+00:00","Yet their protests managed to create long lasting impacts of pressure","",""
"812158732515541012","rxsebud","2025-08-29T02:14:35.4230000+00:00","i'm googling this","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:14:54.1870000+00:00","Sure, you can also see my post as a reference to put in your Google too","",""
"412926738298044431","jaxxxxxxyyyy","2025-08-29T02:15:19.6720000+00:00",".","",""
