AuthorID,Author,Date,Content,Attachments,Reactions
"983629435850854441","ukrainumedved","2025-03-26T08:05:57.4100000+00:00","KUASA MODERASI MABASED KEPADA DEWAN MEMBER!","https://cdn.discordapp.com/attachments/1354365748788859073/1354365749023477862/Untitled71_20250326150310.png?ex=69961ba5&is=6994ca25&hm=6f20850f17a9fcdeaedcdb2ad9d8ac33679fce16ce390416e776eef25a624971&","✊🏿 (2)"
"983629435850854441","ukrainumedved","2025-03-26T08:06:05.5910000+00:00","Jadi","",""
"983629435850854441","ukrainumedved","2025-03-26T08:06:22.5630000+00:00","Changed the channel name: Partai Soviet (dont mind this too much, it's not that serious)","",""
"983629435850854441","ukrainumedved","2025-03-26T08:08:33.5140000+00:00","Partai soviet tidak sosialis, tetapi lebih libertarian. Kita advokat untuk server Mabased do kuasai oleh member2, semua member, dewan yg di pimpini oleh rakyat/member","",""
"983629435850854441","ukrainumedved","2025-03-26T08:08:41.0620000+00:00","Overall, it's just a concept.","",""
"983629435850854441","ukrainumedved","2025-03-26T08:10:00.3110000+00:00","Tidak peduli kalau kalian kiri atau kanan, kami mempunyai satu tujuan.","",""
"983629435850854441","ukrainumedved","2025-03-26T08:10:06.4180000+00:00","Councilism or whatever","",""
"736550209068335135",".ayab","2025-03-26T09:12:26.5080000+00:00","Oh ini kyk revolusi untuk mabased ya?","",""
"736550209068335135",".ayab","2025-03-26T09:12:42.1160000+00:00","Menggulingkan kekuasaan mod dan duce buzzer","",""
"983629435850854441","ukrainumedved","2025-03-26T09:14:06.6370000+00:00","Yaa mirip. We dont care if you are elft or right, but we have one goal","",""
"983629435850854441","ukrainumedved","2025-03-26T09:14:26.8310000+00:00","Overthrow the system, and give the people a council to decide!","",""
"983629435850854441","ukrainumedved","2025-03-26T09:14:28.9520000+00:00","Ya","",""
"983629435850854441","ukrainumedved","2025-03-26T09:14:34.5050000+00:00","kayak dewan rakyat lah","",""
"983629435850854441","ukrainumedved","2025-03-26T09:14:37.2030000+00:00","Dari member","",""
"983629435850854441","ukrainumedved","2025-03-26T09:15:01.2780000+00:00","People's council","",""
"736550209068335135",".ayab","2025-03-26T09:15:03.4750000+00:00","Wishsss membuat revolusi","",""
"983629435850854441","ukrainumedved","2025-03-26T09:15:11.0750000+00:00","I cant, im illiterate","",""
"983629435850854441","ukrainumedved","2025-03-26T09:15:56.5250000+00:00","kita ganti sistem jika moderator tidak membuat kita aman!","",""
"983629435850854441","ukrainumedved","2025-03-26T09:16:04.8600000+00:00","Ya sekarang sih, moderasi mungkin bagus","",""
