AuthorID,Author,Date,Content,Attachments,Reactions
"447418002896584704","jazz3774","2025-04-15T03:14:22.7000000+00:00","Idk bout y'all but i think this is defo something that we slept on 

So Bonbon Santoso Just patented the idea of ""makan besar"" it reminds me of React brother in US and ""open mic"" paten in indonesia ? 

Cause defo he writes it like he can chose whatever ""content of masak besar"" is suitable especially with his comment on Kompas 

https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.kompas.com/sulawesi-selatan/read/2025/04/14/052749788/bobon-santoso-daftarkan-hak-cipta-karya-masak-besar-untuk&ved=2ahUKEwi1jtX9hNmMAxVfxDgGHW59IX0QFnoECBkQAQ&usg=AOvVaw1XfeVevLe7P9Jy0j7MXve4

Or search DKJI Bobon Makan besar artikel 

He says not to ""copy"" his style, character and branding person butt.... he defo giving Mr.Beast (Tuan Buas) vibe especially the meme video editing and his cheerful character. 

I think this Hak Cipta is dangerous a floodgate cause if probably will melebar ke semua hal lainnya ? But idk am i wrong ? 

 Gv me your opinion cause i definetly 100% this is dangerous game and im glad to be wrong","https://cdn.discordapp.com/attachments/1361540127968727111/1361540128237031556/Screenshot_20250415_090204_Instagram.jpg?ex=6996800e&is=69952e8e&hm=599a5440277fc6a309b1611673c02dacea50913d398e770c8bc1dee2b5290d5e&,https://cdn.discordapp.com/attachments/1361540127968727111/1361540128585154701/Screenshot_20250415_095422_Instagram.jpg?ex=6996800e&is=69952e8e&hm=7517f82d0bca90d333620a557dab560486b787d3d2d538166cfd81521d6c76b4&,https://cdn.discordapp.com/attachments/1361540127968727111/1361540128907984936/Screenshot_20250415_095500_Instagram.jpg?ex=6996800e&is=69952e8e&hm=a530f480207cd1f9f33f8e1d96473fe84b1ce0b59e6ab4f1528e007245685c4d&,https://cdn.discordapp.com/attachments/1361540127968727111/1361540129281413201/Screenshot_20250415_095436_Instagram.jpg?ex=6996800f&is=69952e8f&hm=e4ba8b5d44aa8e02e07220c3176353ecec7d7b554a58959535c336431f06b1bc&",""
"447418002896584704","jazz3774","2025-04-15T03:16:05.0870000+00:00","If any of you are youtubers/content creator gv us your opinion thank you ❤️","",""
"731408010232070165","darkzet","2025-04-15T04:12:06.3310000+00:00","im not a cc but i feel like we should just ignore this guy","","This (2)"
"645277559935860736","petrachristalbert","2025-04-15T04:29:15.1040000+00:00","that bro prob overreacted to the public opinion that mention Bobon Santoso as the only one person who could successfully execute these kind of thing in Indonesia.

Not sure if the decision to do this is his idea, maybe his team just suggest him to do this in order to keep their project integrity after what happen to Willie Salim.

Pretty sure this just overreact.","",""
"447418002896584704","jazz3774","2025-04-15T06:15:39.8000000+00:00","We can ignore the dude but we cant ignore the patent thou","",""
"447418002896584704","jazz3774","2025-04-15T06:16:44.0540000+00:00","Bro mentang"" dkt sm wowo patenin ""makan besar"" 😭","","💀 (1)"
"645277559935860736","petrachristalbert","2025-04-15T06:23:05.8850000+00:00","cuman kelas tertentu yang bisa ""makan besar""","",""
"645277559935860736","petrachristalbert","2025-04-15T06:23:25.5400000+00:00","rakyat jelata cuman bisa ""makan kecil""","",""
"645277559935860736","petrachristalbert","2025-04-15T06:23:29.5140000+00:00","💀","",""
"447418002896584704","jazz3774","2025-04-15T06:32:39.3580000+00:00","I just really really hate the idea of patening ""video ideas/concept""","",""
"890070769089015808","tianhikari","2025-04-15T06:39:23.8320000+00:00","yo whats going on?","",""
"890070769089015808","tianhikari","2025-04-15T06:39:26.5540000+00:00","like really","",""
"890070769089015808","tianhikari","2025-04-15T06:39:32.5580000+00:00","whats wrong with it","",""
"890070769089015808","tianhikari","2025-04-15T06:39:44.0630000+00:00","is Bobon turn into a internet vilain or what","",""
"447418002896584704","jazz3774","2025-04-15T06:43:14.5320000+00:00","I say not really but he opening floodgates","",""
"890070769089015808","tianhikari","2025-04-15T06:43:53.9070000+00:00","of what","",""
"447418002896584704","jazz3774","2025-04-15T06:45:48.2620000+00:00","Look at his ig post bout patening makan besar","",""
"447418002896584704","jazz3774","2025-04-15T06:46:06.0140000+00:00","Not many support him","",""
"447418002896584704","jazz3774","2025-04-15T06:46:59.6590000+00:00","He is opening floodgate bout ""patening videos ideas""","",""
"447418002896584704","jazz3774","2025-04-15T06:47:14.2970000+00:00","Do y'all remember React brother ?","",""
"890070769089015808","tianhikari","2025-04-15T06:47:37.7520000+00:00","react content? yes?","",""
"890070769089015808","tianhikari","2025-04-15T06:47:51.3240000+00:00","so he basically gatekeeped his video with this?","",""
"447418002896584704","jazz3774","2025-04-15T06:56:22.6810000+00:00","Fo me its looks like it he gate keeping ""makan besar""","",""
"447418002896584704","jazz3774","2025-04-15T07:00:44.7280000+00:00","Ur not allowed to copy his character, menjiplak kreativitas pencipta","",""
"447418002896584704","jazz3774","2025-04-15T07:01:35.7950000+00:00","Its so ambigu, for me he can definetly claim if u are making makan besar vid and if u are cheerful person he can defo claim your vid","",""
"447418002896584704","jazz3774","2025-04-15T07:02:06.9640000+00:00","Especially his editing style (mr beast/meme)","",""
"890070769089015808","tianhikari","2025-04-15T07:02:25.0570000+00:00","oh copy his personality","",""
"890070769089015808","tianhikari","2025-04-15T07:02:32.8310000+00:00","well thats ..wrong?","",""
"890070769089015808","tianhikari","2025-04-15T07:02:57.5250000+00:00","well plagraism is wrong but in this case..uh","",""
"447418002896584704","jazz3774","2025-04-15T07:13:51.7440000+00:00","But its content creaction  the game is ""plagirizing"" 

Sumone like penguinz0 and ordinarygaming hv the same style (they basically the same lol) 

Nah i think we gotta see what he do next cause what he did now is slimmy af","",""
"450524820812201994","m0xxyyy","2025-04-15T08:22:28.1860000+00:00","kenapa ya setiap style yang baru masuk ke indo mereka bakal ngerasa they are the only one? I now its not the same but i think Timothy Ronald also copy Andrew Tate style of speech and the people feels that he’s the only one who did that kind of thing, no?","",""
"447418002896584704","jazz3774","2025-04-15T12:42:18.4860000+00:00","Yesss","",""
"447418002896584704","jazz3774","2025-04-15T12:43:18.9350000+00:00","Boy if only timothy ronald patenin ide dia isa unjuk rasa","",""
"447418002896584704","jazz3774","2025-04-15T12:43:43.4730000+00:00","Lelaki sigma buyar sudah kerjaan mrk xixixixixixi","",""
"450524820812201994","m0xxyyy","2025-04-15T13:16:11.8720000+00:00","hahahahaha","",""
