AuthorID,Author,Date,Content,Attachments,Reactions
"843005270200156160","kaviarormonroe","2025-04-24T14:29:41.5230000+00:00","Drop your favourite philosopher and why
Let's talk about them","https://cdn.discordapp.com/attachments/1364971567020249128/1364971567863300206/https___assets.lareviewofbooks.org_uploads_201605althusser_01.jpg?ex=69967595&is=69952415&hm=88acdcbb8394e46937d419d218f0a972f2a453f15b0c08169cef40214c3e8a72&",""
"736550209068335135",".ayab","2025-04-24T14:33:05.5620000+00:00","My dad","",""
"736550209068335135",".ayab","2025-04-24T14:33:30.9320000+00:00","Hes the reason for the formation of my core beliefs","",""
"843005270200156160","kaviarormonroe","2025-04-24T14:46:12.8500000+00:00","Such as","",""
"736550209068335135",".ayab","2025-04-24T14:49:06.9980000+00:00","I know that this sounds like a joke answer but its not. 

He's the reason why I believe that hardwork guided by education is the only path for succes, that lifes may suck and we can turn to God for guidance but it is ultimately in our hand how we shape our fate

Determination, grit, wit, and tenacity is tge recipe for succes but wisdom is instrument on how we use them","",""
"736550209068335135",".ayab","2025-04-24T14:49:45.1030000+00:00","It sounds generic as an answer or maybe philosophy that has been discussed millenia ago","",""
"736550209068335135",".ayab","2025-04-24T14:50:31.5440000+00:00","But sometimes when you see theory put into action it leave a lasting impact that you'll never forget.","",""
"843005270200156160","kaviarormonroe","2025-04-24T14:52:26.4210000+00:00","This sounds very broad and pragmatic 
But i guess thats the appeal of pragmatism
You can really just apply it anywhere with minimal abstraction","",""
"843005270200156160","kaviarormonroe","2025-04-24T14:53:00.9430000+00:00","I would want to be really obtuse and annoying and ask you to define every single contingent word you just said","",""
"843005270200156160","kaviarormonroe","2025-04-24T14:53:10.4610000+00:00","But you personally Ayab","",""
"843005270200156160","kaviarormonroe","2025-04-24T14:53:12.8660000+00:00","what is success to you?","",""
"736550209068335135",".ayab","2025-04-24T14:54:22.5260000+00:00","Succes to me...i want to say happiness but what good is my happiness if others dont have it also. That will be selfish.

I want to be happy while make everyone i loved dearly being as happy as possible","",""
"843005270200156160","kaviarormonroe","2025-04-24T14:55:50.9980000+00:00","But happiness is really broad
How would you fulfill happiness?
What if people around you or even people you love have happiness that is directly in contradiction with your happiness?
Will you compromise? or what is a deal breaker for you?","",""
"843005270200156160","kaviarormonroe","2025-04-24T14:56:10.9900000+00:00","Happiness is also ever changing and never constant","",""
"265355459454566402","shiawase6946","2025-04-24T14:59:48.1260000+00:00","Tell us your favorite brother","",""
"843005270200156160","kaviarormonroe","2025-04-24T15:01:29.4190000+00:00","Really predictable haha
Hegel and Marx","https://cdn.discordapp.com/attachments/1364971567020249128/1364979569295364187/what-hegel-and-marx-have-in-common.png?ex=69967d09&is=69952b89&hm=8263ef3965ed2a071b4f43c3ce00cda9371a127a28c4235d23d622739a7184a7&",""
"843005270200156160","kaviarormonroe","2025-04-24T15:02:13.2350000+00:00","i've been reading a bit of Immanuel Kant and David Hume","",""
"843005270200156160","kaviarormonroe","2025-04-24T15:02:15.4860000+00:00","Wbu","",""
"736550209068335135",".ayab","2025-04-24T15:03:39.0130000+00:00","Hehe nice


But that is true. right now happiness for me is to have me as a son that could make my parents proud, a brothers and sisters' keeper, a place to see that people can point in public ""there look at him so high in place, his parents must be proud, he is a loyal son.""

I am still shackled by the notion of a clan/fammilial thinking, no matter how much i have learned, I love them too dearly  no matter how many they have hurt me.

Happiness is ever constant (hehe) but is it really that bad for it to be such an abstract of a concept?

A dream to chase while still feeling satisfied is happiness on it self. A distant dream it maybe yet through the sorrow you went trough, light will always be there, you just have to grasp it, and accept all it bitterness to savor its sweetness.","",""
"595261388579143712","owenzedd","2025-04-24T15:04:55.6970000+00:00","Never read anything more impactful than Marx","",""
"763369578143154260","omnomswag","2025-04-24T15:06:38.0160000+00:00","not a philosopher but more of a poet i like chuuya nakahara","",""
"265355459454566402","shiawase6946","2025-04-24T15:06:59.1470000+00:00","Oh they are good actually.Hegel and then Marx gave birth to many school of thought","",""
"736550209068335135",".ayab","2025-04-24T15:07:03.3650000+00:00","Every man is a philosopher in my book","",""
"843005270200156160","kaviarormonroe","2025-04-24T15:07:08.3710000+00:00","Besides being the de facto founder of Continental philosophy

Hegel's immanent critique (which includes dialectics) is the single most impactful philosophy ive ever read. And without it Marx wouldn't even be a thing!
He revolutionized epistemology by bringing in an intersectional analysis of culture and history, his philosophy is completely presuppositionless, he ended skepticism, he ended the subject/object distinction, he succeeded in giving an account of how objective knowledge is possible","",""
"736550209068335135",".ayab","2025-04-24T15:07:12.1300000+00:00","No matter how high or low","",""
"763369578143154260","omnomswag","2025-04-24T15:09:16.1130000+00:00","yawn","",""
"763369578143154260","omnomswag","2025-04-24T15:09:22.0030000+00:00","!!","",""
"736550209068335135",".ayab","2025-04-24T15:09:26.8900000+00:00","But beside my dad I love kants work","",""
"595261388579143712","owenzedd","2025-04-24T15:10:21.0830000+00:00","They said hard time creates strong man
I said hard time creates good philosophers","",""
