AuthorID,Author,Date,Content,Attachments,Reactions
"857482775283236874","sandwich6793","2025-05-08T11:14:33.5950000+00:00","How to enter into politics and what to learn where to start etc books to recommend the whole Shabang","",""
"929685111300059156","glassesofwater","2025-05-08T12:45:39.0170000+00:00","Join a political parties youth movement.","",""
"929685111300059156","glassesofwater","2025-05-08T12:45:49.7490000+00:00","I hear very very good things about nasdem.","","🔥 (1)"
"731408010232070165","darkzet","2025-05-08T15:56:04.4900000+00:00","i wanna join PKS","",""
"857482775283236874","sandwich6793","2025-05-09T04:35:46.1270000+00:00","What are the requirements","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:01:20.4830000+00:00","https://discord.com/channels/1118146223497560187/1360968598755086548/1361045637088677979


You might want to read this message about the breakdown of each parties including Nasdem","",""
"857482775283236874","sandwich6793","2025-05-09T09:04:23.1880000+00:00","Thx","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:05:12.8570000+00:00","You can see the requirements in this link:
https://martinmanurung.id/daftar-anggota-nasdem/","",""
"857482775283236874","sandwich6793","2025-05-09T09:05:39.9920000+00:00","Is it possible to be active even though I’m overseas","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:06:47.7900000+00:00","do you have Indonesian KTP?","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:07:09.0990000+00:00","You might want to see the Instagram account of Nasdem along with other news about them to see the requirements","",""
"857482775283236874","sandwich6793","2025-05-09T09:07:23.2660000+00:00","Ofc","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:07:37.3970000+00:00","You can also contact to the other people whom being linked into the recruitment process to ask then furthmore about it","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:07:45.6410000+00:00","Especially regarding your overseas condition","",""
"857482775283236874","sandwich6793","2025-05-09T09:08:28.4440000+00:00","Btw if you had to pick a parpol, what would it be?","",""
"857482775283236874","sandwich6793","2025-05-09T09:08:32.1040000+00:00","Nasdem?","",""
"857482775283236874","sandwich6793","2025-05-09T09:09:19.8840000+00:00","What do people do when they’re already in a parpol","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:10:39.6050000+00:00","None, the situation rn is not doing any good for both sides, whether it is Nasdem or other parties. I would actually wait it out for the condition to stabilize before joining one rn.","",""
"265355459454566402","shiawase6946","2025-05-09T09:11:14.2590000+00:00","Some party might have DPC Diaspora","",""
"857482775283236874","sandwich6793","2025-05-09T09:11:27.3210000+00:00","What dpc diaspora","",""
"265355459454566402","shiawase6946","2025-05-09T09:11:37.9260000+00:00","Maybe the diaspora community on your country has any info","",""
"857482775283236874","sandwich6793","2025-05-09T09:11:47.3410000+00:00","Ahhh","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:11:52.3430000+00:00","That depends where you are assigned to. In many cases, I saw young kader being lower staffs that helped in smaller teams and programs to do the party's bigger agenda","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:12:20.2830000+00:00","And if you do have potential to become big, whether through your connections, wealth and skills, you can rose up the ranks pretty quickly","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:12:50.3430000+00:00","At least becoming the smaller head of the party's village area, then slowly reaching into town or city position could be a good start","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:13:25.1610000+00:00","You could even contribute to the regional effort of the party to gain more votes from the locals through various campaign projects","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:13:52.9320000+00:00","Or even bansos, official meetings, management, etc","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:14:49.1390000+00:00","You will be lucky if during your short period of membership, you will already be assigned to assist or become assistant for a big figure inside the party or the party leader like Surya Paloh","",""
"857482775283236874","sandwich6793","2025-05-09T09:19:41.9590000+00:00","Damn, thx man this is very helpful","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:20:45.1790000+00:00","You're welcome","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:21:12.8100000+00:00","You might want to push more for your skills on the field, especially in cleaning, participating on various field events, etc","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:21:14.9610000+00:00","Most lower staffs start in this position","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-09T09:21:50.3060000+00:00","And if you have experience on it, they would count on you to do this task","",""
"929685111300059156","glassesofwater","2025-05-09T10:34:23.0930000+00:00","Not sure they have good cadre development","",""
"731408010232070165","darkzet","2025-05-10T17:59:16.7560000+00:00","what skills do you suggest we have when we join a parpol? 
(i dont understand your sentence here)","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-12T03:16:41.4040000+00:00","Sorry to reply just now","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-12T03:28:02.7570000+00:00","But what I meant from my previous statement mainly talking about younger cadres working in labor-intensive or operational roles. Like I stated before, they would relied on you with field tasks if you are a young cadre or able to operate on the field:
1. Event setup & teardown, basically you are able to organize venues, setting up various ornaments for the party's decorations, etc.
2. Small-team coordination, self explainable.
3. Field communication along with its execution, basically communicate and being able to understand the instrument that are given. 
4. Technical or maintenance operation from using digital tools, setting up lights or fixing electricity for the event, etc.
5. If you are good with datas or documenting, you will be tasked with documenting or handling reports.","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-12T03:31:14.7390000+00:00","And this is still true even if you are a senior cadre or official with certain position. During my last meet with Anthony Winza Probowo like a year ago or two, even he himself admitted that he needed to help with these tasks to gain people's sympathy or simply when there are no workers or staffs there able to execute these tasks.","",""
