AuthorID,Author,Date,Content,Attachments,Reactions
"265355459454566402","shiawase6946","2025-11-27T05:29:46.1260000+00:00","Hi I make this thread for you guys to read and aware of how hackers operate in recent years.
 
# PAST Threats

We might be used to news about Data Breach and Leaks from Companies (Especially our PDN circa 2024).

We might also be used to how ransomeware gang operate where they lock your computer, encrypt your data, and asked for monies to open it circa 2010s.

Nowadays, these are no longer how majority of them operate.  What they did was exploiting known vulnerability on software which was prevented alot in recent years - you could see this from how often your OS/Softwares asked for updates.","",""
"265355459454566402","shiawase6946","2025-11-27T05:30:00.8940000+00:00","# Current Threats

Do you often download your favorite games' mods and cracked softwares scattered in the internet?

You are at risk more than ever.

What these bad guys do now is slipping a variant of malware called info-stealers into these game mods and pirated software.

## How Infostealer works

Unlike ransomware or other classic malwares, that give away silly pop-up or make you provide access to these hackers, these infostealers are silent.

They silently steal your credentials saved in your browsers, text files, important docs, xls, etc.

What they need is just one time install and thats it they have everything.

And what is crazy is these little sweet stuff called cookie stored in your browser and applications. They just need this session cookie and impersonate you WITHOUT even the need for 2FA straight on their browser.","",""
"265355459454566402","shiawase6946","2025-11-27T05:41:21.9550000+00:00","# What you can do?

- NEVER tell Browser to remember your password, 
- ALWAYS verify any LINK and File you receive from somebody else,
- DO NOT install mods, illegal software and Browser Extensions unless you do your homework to validate if it is safe (disassemble it? Lol)","",""
"241476172033032193","meat_l0f","2025-11-27T05:48:17.8650000+00:00","how about books like epub files, can they do the same with those files?","",""
"241476172033032193","meat_l0f","2025-11-27T05:48:37.6370000+00:00","I usually download study materials from website like annas archive","",""
"265355459454566402","shiawase6946","2025-11-27T06:04:41.2780000+00:00","If you're using adobe , or browser to open PDF, ensure it is updated to latest. And if that PDF talk to you when you open it (instructions, pop up or redirect you to some website) then it is evil - dont obey and discard it.

For MS Office doc or xls, do not click yes on that yellow ribbon when opening unless you know the sender legit and it has the macro you know beforehand - if there is macro.","",""
"265355459454566402","shiawase6946","2025-11-27T06:19:14.3570000+00:00","# Outlook

The number of these threat actors will only be increasing. It is easier more than ever to hack people. The new waves of threat actors we have now are e-gangsters turned hackers. These kids usually buy malwares and spread it to steal our credentials and sell them.

For kids who think to be a hacker. You might heard hackers arrested and hired by CIA in the past. Now, it is no longer happening. Most likely you will only be a part of e-gangster buying these malwares or stolen credentials to attack people and companies. CIAs do not need this kind of kids, so you will only be thrown STRAIGHT TO JAIL.","",""
"668635528605859840","baygon420","2025-11-27T06:21:02.8320000+00:00","regularly change yall passwords too","",""
"668635528605859840","baygon420","2025-11-27T06:21:07.6030000+00:00","i did this all the time","",""
"668635528605859840","baygon420","2025-11-27T06:21:15.7400000+00:00","not because of security reasons","",""
"668635528605859840","baygon420","2025-11-27T06:21:22.4940000+00:00","but because i always forget them 😂","",""
"265355459454566402","shiawase6946","2025-11-27T06:21:57.5960000+00:00","I do the same thing lol.:hehe:","",""
"668635528605859840","baygon420","2025-11-27T06:22:13.6380000+00:00","so basically ""hackers"" nowadays are just script kiddies?","",""
"265355459454566402","shiawase6946","2025-11-27T06:23:21.4950000+00:00","Oh ya do you want to see examples of these malicious documents. I have some, if you want.","",""
"265355459454566402","shiawase6946","2025-11-27T06:24:06.1410000+00:00","Worse. They can just buy and run malwares","",""
"241476172033032193","meat_l0f","2025-11-27T06:24:08.8100000+00:00","you want to send it here??? :shockedf:","",""
"265355459454566402","shiawase6946","2025-11-27T06:24:15.2780000+00:00","Why not","",""
"265355459454566402","shiawase6946","2025-11-27T06:24:56.9650000+00:00","Although it is technically harmless. If allowed by mods though","",""
"241476172033032193","meat_l0f","2025-11-27T06:25:08.0520000+00:00","legit, i had several nightmares about getting hacked","",""
"241476172033032193","meat_l0f","2025-11-27T06:25:24.1860000+00:00","so yeah, kinda scary","",""
"241476172033032193","meat_l0f","2025-11-27T06:25:38.4720000+00:00","maybe just ss the file?","",""
"265355459454566402","shiawase6946","2025-11-27T06:27:10.7430000+00:00","Uhm. You wont be able to ""feel"" it to be honest","",""
