AuthorID,Author,Date,Content,Attachments,Reactions
"595261388579143712","owenzedd","2025-03-21T07:56:09.0910000+00:00","Any update on what's going on today? Follow up to yesterday demonstration, conflict with police, etc.","","🔥 (1)"
"425585007906783232","gksubrata","2025-03-21T14:05:19.5530000+00:00","@deleted-role","",""
"1016181076877652089","outrageous_hare_23811","2025-03-21T14:06:55.4610000+00:00","https://www.facebook.com/share/p/19LapyFojZ/
Here are some bukti of Police brutality yesterday","","⬆️ (1)"
"973225500073926666","raden_patah.","2025-03-21T15:06:36.3950000+00:00","One of the server members here went down to the streets","",""
"595261388579143712","owenzedd","2025-03-21T15:53:22.3860000+00:00","Yeah, I did see the photos they send on #⊱・🗺️・international-discussion","",""
"595261388579143712","owenzedd","2025-03-21T15:53:33.6320000+00:00","https://x.com/neVerAl0nely/status/1902681292988203374?t=jZwTA8NgImJV5V9zWIWk2g&s=19","",""
"595261388579143712","owenzedd","2025-03-21T15:53:50.0740000+00:00","And this video they sent yesterday is insane","",""
"973225500073926666","raden_patah.","2025-03-21T20:27:18.3180000+00:00","Nah","",""
"973225500073926666","raden_patah.","2025-03-21T20:27:21.8840000+00:00","I mean","",""
"973225500073926666","raden_patah.","2025-03-21T20:27:29.4710000+00:00","@Hiz","",""
"973225500073926666","raden_patah.","2025-03-21T20:27:43.8900000+00:00","He's going down and today... He's lost contact","",""
"595261388579143712","owenzedd","2025-03-22T03:09:37.7310000+00:00","Hopefully nothing bad happened to him","",""
"973225500073926666","raden_patah.","2025-03-22T11:58:14.1220000+00:00","Yea I hope about him too","",""
"1268231520724713594","felix_white_law_12319","2025-03-29T12:08:10.3060000+00:00","I'm curious about the results of the dialogue","",""
"1268231520724713594","felix_white_law_12319","2025-03-29T12:08:13.5340000+00:00","https://www.instagram.com/p/DHX46b9xxqz/?igsh=MXc0ZXBzNGxod2w4NQ==","",""
"595261388579143712","owenzedd","2025-03-29T18:26:38.8200000+00:00","Koalisi Masyarakat Sipil = Antek Asing?","",""
"1268231520724713594","felix_white_law_12319","2025-03-29T21:42:35.3260000+00:00","Yea","",""
"1268231520724713594","felix_white_law_12319","2025-03-29T21:43:01.7810000+00:00","Kodam 9 daya ago released a buzzer style vid and it mentions ""antek asing""","",""
"1268231520724713594","felix_white_law_12319","2025-03-29T21:47:02.1310000+00:00","And they used that term since they believe of a foreign intervention to dismantle the state security via these protests","",""
"1268231520724713594","felix_white_law_12319","2025-04-01T16:41:35.1290000+00:00","Lmao


https://www.detik.com/bali/berita/d-7851484/bem-unud-siapkan-aksi-minta-rektorat-batalkan-kerja-sama-dengan-kodam","",""
"1268231520724713594","felix_white_law_12319","2025-04-02T12:42:22.9360000+00:00","Sooner or later Student unions across Bali, GMNI, Anarchists and worse, Amnesty International would get involved here","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-02T13:10:45.3360000+00:00","It is expected","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-02T13:10:49.0820000+00:00","More protests","",""
"1268231520724713594","felix_white_law_12319","2025-04-02T13:45:21.1240000+00:00","Idk if it's gonna be more protests.... But","",""
"1268231520724713594","felix_white_law_12319","2025-04-02T13:45:44.6920000+00:00","Currently both UNUD and Kodam 9 are now fighting in the media campaign","",""
"1268231520724713594","felix_white_law_12319","2025-04-02T13:46:00.0920000+00:00","You know what","",""
"1268231520724713594","felix_white_law_12319","2025-04-02T13:46:09.1680000+00:00","Imma add subtopics about this","",""
"1268231520724713594","felix_white_law_12319","2025-04-02T13:46:32.5030000+00:00","Do you think the admins don't mind if I add a new Yapping forum?@Jax","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-02T13:46:59.1280000+00:00","No I don't think they do mind, so go ahead","",""
"1268231520724713594","felix_white_law_12319","2025-04-02T13:48:07.5730000+00:00","Alright....","",""
