AuthorID,Author,Date,Content,Attachments,Reactions
"998521205101428776","liz2liz","2025-04-23T07:23:18.7630000+00:00","Hi all! Please share best Indonesian song that you like or any great song you most recommend for some **foreigner** friends to listen ^^

Terima Kasih :PatPatVK:

P. S any genre is ok","",""
"800722550329180181","thirteenmiles.","2025-04-23T07:26:22.6080000+00:00","How about Manufaktur Replika Baptis by Deadsquad? Any genre right? Hahaha","","flower (1)"
"867421149126197300","chel705","2025-04-23T07:26:50.8120000+00:00","https://music.youtube.com/watch?v=QaLOciWA1nE&si=rAb3-q15I09I2ic5","","flower (1)"
"867421149126197300","chel705","2025-04-23T07:27:11.4780000+00:00","https://music.youtube.com/watch?v=UUe2l3FoXuM&si=OPj2Xq4HX3240zcb","","flower (1)"
"891545423238537236","murzzbow","2025-04-23T07:27:23.8110000+00:00","https://open.spotify.com/album/6VTHIc7lHL0edFYv37j29F?si=uCHoXIocQa6ViDLNXfrmwg","","flower (1)"
"867421149126197300","chel705","2025-04-23T07:29:43.7010000+00:00","https://music.youtube.com/watch?v=5i_nUJ1SPCA&si=o6KTz1m2ky1_Gjep","","flower (1)"
"867421149126197300","chel705","2025-04-23T07:30:29.8970000+00:00","https://music.youtube.com/watch?v=teZxKtrjq9k&si=8ZbEZ8ue58_VENhs","","🔥 (1),flower (1)"
"867421149126197300","chel705","2025-04-23T07:32:05.2430000+00:00","https://music.youtube.com/watch?v=l_Si-IPgZ24&si=fffYfEd_Pw40swL6","","flower (1)"
"867421149126197300","chel705","2025-04-23T07:32:24.9540000+00:00","https://music.youtube.com/watch?v=DpdNWfmsdio&si=FS4kBkLlUwvg37Ib","","flower (1)"
"891545423238537236","murzzbow","2025-04-23T07:35:07.0470000+00:00","YES VIERRATALE","",""
"185435194746994690","adi_onysus","2025-04-23T07:54:30.5180000+00:00","Anything by For Revenge is lit","",""
"185435194746994690","adi_onysus","2025-04-23T07:56:04.8370000+00:00","https://music.youtube.com/watch?v=r3ZtzKKkNqM&si=4FYtm8DSBhSbX7X5","","flower (1)"
"185435194746994690","adi_onysus","2025-04-23T07:56:16.9790000+00:00","https://music.youtube.com/watch?v=VfCj5Sv8JUk&si=uR1n3h5HHSJ6Q4h-","","flower (1)"
"580702177006190595","ashiapmanman","2025-04-23T09:43:32.9190000+00:00","lagu wali wajib ga si","","pepeWow (1),flower (1)"
"731408010232070165","darkzet","2025-04-23T09:48:52.4680000+00:00","for orang luar?? dude to the bone","","flower (1)"
