AuthorID,Author,Date,Content,Attachments,Reactions
"902527976678240317","flarexxjeans","2025-04-25T08:57:36.3450000+00:00","","https://cdn.discordapp.com/attachments/1365250382632058970/1365250382892236810/p06gswhh_nefu.jpg?ex=699627c0&is=6994d640&hm=8bd8583f53f39c6c410a9d3242e717df497430c067dc6035bf6b448cc5cbdfb4&",""
"902527976678240317","flarexxjeans","2025-04-25T08:58:15.2870000+00:00","Hi everyone, im a freshman IR Students working on my essay about revenge porn","",""
"902527976678240317","flarexxjeans","2025-04-25T08:58:31.5980000+00:00","I would like to hear your thoughts about revenge porn in indonesia","",""
"929685111300059156","glassesofwater","2025-04-25T09:25:25.4580000+00:00","it should be illegal, if indonesia wants to support women and be a moral and religious country it must","",""
"929685111300059156","glassesofwater","2025-04-25T09:25:43.4410000+00:00","if anybody is against it they’re an actual embarrassment","",""
"902527976678240317","flarexxjeans","2025-04-25T09:26:17.0100000+00:00","agree, it should be","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:26:24.0010000+00:00","Ei a freshman in IR eh? Damn I felt like a veteran already since I am about to graduate from my IR bachelor degree by next month. So here are my thoughts about it. On the good side, the revised UU TPKS (Tindak Pidana Kekerasan Seksual) that had passed in 2022 did recognize digital s*xual violence, including revenge p*rn, a needed step forward. Yet the main problem came with law enforcement personnel still lacks gender sensitivity training and often mishandles these cases. It can discourage the victims to report it and avoid legal cases due to their mistrust on authorities. Public morality often still blamed the victims rather than the main criminals, in which it need a shift in cultural perspective.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:27:54.7430000+00:00","The main issues with this case are two things: public lack of awareness and law enforcement lacks their training on handling these issues","",""
"929685111300059156","glassesofwater","2025-04-25T09:28:15.3740000+00:00","If we want to be considered a global nation and want to be on the world stage we must have protections in place for women. Especially with the mental health crisis plaguing indonesia","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:28:15.4650000+00:00","Tackle these two, and you would have a much more significant positive impact for going against revenge p-rn","",""
"929685111300059156","glassesofwater","2025-04-25T09:28:57.0210000+00:00","It’s also the police don’t know what to do with these situations, don’t care, or just blame the woman.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:29:20.3100000+00:00","Yeah, the law enforcement as a whole lack the training and procedures","",""
"929685111300059156","glassesofwater","2025-04-25T09:31:45.6930000+00:00","In the western world, police are being more trained in things like dealing with mental health, and assault against women. However in Indonesia a lot of women are scared to deal with the police (unless they have money) as they often blame the woman.","",""
"983629435850854441","ukrainumedved","2025-04-25T09:32:14.1610000+00:00","What is a revenge porn?","",""
"902527976678240317","flarexxjeans","2025-04-25T09:33:19.8730000+00:00","as far as i know, Pasal 14
(1) Setiap Orang yang tanpa hak:
a. melakukan perekaman dan/atau mengambil
gambar atau tangkapan layar yang bermuatan
seksual di luar kehendak atau tanpa persetujuan
orang yang menjadi objek perekaman atau
gambar atau tangkapan layar;
b. mentransmisikan informasi elektronik dan/atau
dokumen elektronik yang bermuatan seksual di
luar kehendak penerima yang ditujukan terhadap
keinginan seksual; dan/atau
c. melakukan penguntitan dan/atau pelacakan
menggunakan sistem elektronik terhadap orang
yang menjadi obyek dalam informasi/dokumen
elektronik untuk tujuan seksual,
dipidana karena melakukan kekerasan seksual
berbasis elektronik, dengan pidana penjara paling
lama 4 (empat) tahun dan/atau denda paling banyak
Rp200.000.000,00 (dua ratus juta rupiah). this is what uu tpks has stated, it says ""diytujukan terhadap keinginan seksual"" whereas revenge porn is intended as a thread or revenge","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:33:40.5190000+00:00","It is an act of sending an erotic video or p-rn of someone else without their consent as a revenge on that person inside the video","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:33:45.6740000+00:00","Basically to expose that person","",""
"902527976678240317","flarexxjeans","2025-04-25T09:33:57.7030000+00:00","the law itself didnt specify revenge porn as one of the electric-sexual offense there","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:34:26.5840000+00:00","It did however, stated that ""perekamanan tanpa persetujuan""","",""
"983629435850854441","ukrainumedved","2025-04-25T09:34:28.0250000+00:00","That's just cowardice, heh","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:34:34.5130000+00:00","Revenge porn often done without consent","",""
"983629435850854441","ukrainumedved","2025-04-25T09:34:36.5150000+00:00","Shock content ahh","",""
"983629435850854441","ukrainumedved","2025-04-25T09:35:02.7310000+00:00","Of course lah","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:35:04.6200000+00:00","Not directly, but revenge porn fell under that category","",""
"983629435850854441","ukrainumedved","2025-04-25T09:35:13.8220000+00:00","Do you ask permission to take revenge?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:35:19.7890000+00:00","Facts","",""
"983629435850854441","ukrainumedved","2025-04-25T09:35:27.5020000+00:00","Yeah, no right?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:35:30.5440000+00:00","You never did it, you do it out of spite","",""
"983629435850854441","ukrainumedved","2025-04-25T09:35:41.9760000+00:00","So of course they would do it without consent","",""
"929685111300059156","glassesofwater","2025-04-25T09:36:28.2300000+00:00","I’d like to add even if you consent to an act being recorded or sent it to someone you were with or you love","",""
"929685111300059156","glassesofwater","2025-04-25T09:36:37.7550000+00:00","Doesn’t mean they have a right to send it to someone else","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:37:12.9910000+00:00","Well the thing is, they recorded in hope to keep it private but then the suspect spread it without consent of that person inside the video","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:37:27.6980000+00:00","Which counted as perekamanan atau penyebaran tanpa izin","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:37:40.3930000+00:00","Thus it still fall as illegal thankfully","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:37:56.0020000+00:00","Agreed, that is why the law make it illegal","",""
"983629435850854441","ukrainumedved","2025-04-25T09:38:03.6820000+00:00","I... cant quite understand your text, lemme structure it abit....","",""
"929685111300059156","glassesofwater","2025-04-25T09:38:07.4030000+00:00","That’s the thing and police don’t give a damn unless they get some cash for it or they just make fun of the victim and do nuthing","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:38:21.5680000+00:00","Now we just need better execution and public awareness","",""
"983629435850854441","ukrainumedved","2025-04-25T09:38:41.8770000+00:00","Wait... so.... RP is a crime that consists of sending videos of..... your revenge target recorded?","",""
"983629435850854441","ukrainumedved","2025-04-25T09:38:44.6830000+00:00","Wait wait","",""
"929685111300059156","glassesofwater","2025-04-25T09:39:06.7490000+00:00","For a more religious country like Indonesia we need places where women can report it to women.","",""
"902527976678240317","flarexxjeans","2025-04-25T09:39:25.3020000+00:00","making fun of the victims yeah that too, its also connected to how patriarchy mentality thats deep within our society and that effected on how the fundamental framwoks regarding revenge porn is lacking indonesia, right?","",""
"929685111300059156","glassesofwater","2025-04-25T09:39:45.3730000+00:00","So let’s say the victim sends a video or photo of herself, but then the person sends it to other people or uploads it to the internet with the persons consent.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:40:11.9050000+00:00","There are a few institutions made for it, but they lacked the public exposure and attention for most women to know","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:40:22.3070000+00:00","Thus the problem comes to public awareness","",""
"983629435850854441","ukrainumedved","2025-04-25T09:40:49.9630000+00:00","Victim of what? Victim of the offended (the person that likely to take revenge)?","",""
"929685111300059156","glassesofwater","2025-04-25T09:41:24.7660000+00:00","I feel like a lot of people forget that even though Jakarta is the biggest city in Indonesia, and has the most people, that people in the smaller cities or towns or even kampungs aren’t as progressive as Jakarta.","",""
"902527976678240317","flarexxjeans","2025-04-25T09:41:29.7180000+00:00","I AGREE WIUTH THIS, actually lembaga perlindungan wanita dan anak in my area is lead by a guy, i think it'll make more sense kalau lembaga2 seperti ini is filled by women","",""
"929685111300059156","glassesofwater","2025-04-25T09:41:51.5050000+00:00","Victim like the person who sent pictures of themselves.","",""
"929685111300059156","glassesofwater","2025-04-25T09:42:03.4170000+00:00","Or the person who’s in the videos.","",""
"983629435850854441","ukrainumedved","2025-04-25T09:42:16.7300000+00:00","So the person who got offended?","",""
"929685111300059156","glassesofwater","2025-04-25T09:42:23.7280000+00:00","Yes.","",""
"983629435850854441","ukrainumedved","2025-04-25T09:42:29.8880000+00:00","Like if this is revenge, then it must come from the offended person","",""
"983629435850854441","ukrainumedved","2025-04-25T09:42:38.3670000+00:00","That's kinda... perverted, ngl","",""
"983629435850854441","ukrainumedved","2025-04-25T09:42:41.3340000+00:00","Also wait","",""
"929685111300059156","glassesofwater","2025-04-25T09:42:57.9460000+00:00","https://en.wikipedia.org/wiki/Revenge_porn","",""
"983629435850854441","ukrainumedved","2025-04-25T09:43:04.5580000+00:00","by the ""person"" who sends it, you mean the offender?","",""
"929685111300059156","glassesofwater","2025-04-25T09:43:08.1190000+00:00","Wikipedia explains it quite well","",""
"929685111300059156","glassesofwater","2025-04-25T09:43:17.4780000+00:00","The person who sends it around is the offender","",""
"983629435850854441","ukrainumedved","2025-04-25T09:43:20.7760000+00:00","Ah, so there is","",""
"983629435850854441","ukrainumedved","2025-04-25T09:43:36.5080000+00:00","The offender of the offended?","",""
"929685111300059156","glassesofwater","2025-04-25T09:43:38.0840000+00:00","https://www.webmd.com/sex-relationships/revenge-porn","",""
"983629435850854441","ukrainumedved","2025-04-25T09:43:40.6410000+00:00","Im sorry if i keep asking","",""
"929685111300059156","glassesofwater","2025-04-25T09:44:06.9270000+00:00","offended is not the word i’d use id use victim (english is my first language btw and indonesian is my second)","",""
"929685111300059156","glassesofwater","2025-04-25T09:44:15.5600000+00:00","no worries man i do understand","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:44:23.9480000+00:00","Thankfully the ministry for it is now a woman named Veronica Tan, yet the ministry is so underfunded","",""
"983629435850854441","ukrainumedved","2025-04-25T09:44:27.3080000+00:00","You know..... i lack vocabulary","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:44:50.9310000+00:00","Only about more than 300 million rupiah, compared to other ministries with at least trillions of rupiah","",""
"902527976678240317","flarexxjeans","2025-04-25T09:46:04.9320000+00:00","oh thats new i didnt know about that...","",""
"902527976678240317","flarexxjeans","2025-04-25T09:46:16.5410000+00:00","underfunded..","",""
"929685111300059156","glassesofwater","2025-04-25T09:47:02.8600000+00:00","Veronica is the deputy","",""
"929685111300059156","glassesofwater","2025-04-25T09:47:26.3040000+00:00","the minister is an actual political hack","",""
"902527976678240317","flarexxjeans","2025-04-25T09:47:45.0710000+00:00","but, do you think ITE Law and TPKS law is effective enough in adressing revenge porn..","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:48:21.3210000+00:00","Oh mb, yeah, it is actually Arifatul Choiri Fauzi","",""
"929685111300059156","glassesofwater","2025-04-25T09:48:24.3210000+00:00","she deputy chaired their campaign so it’s clearly for political points and to like give tuanks","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:49:01.6430000+00:00","Wait wait wait, what do you know about Fauzi as the main minister for women and child protection ministry?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:49:43.2630000+00:00","Ahhhh so a Prabowo campaign team","",""
"929685111300059156","glassesofwater","2025-04-25T09:50:08.7700000+00:00","I’ve done research into this, and my mother is quite knowledgeable with this stuff too.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:50:17.4400000+00:00","Honestly, it did secure it by legislative means, now it need a good execution for it","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:50:26.8080000+00:00","Ahhhh interesting, tell me more","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:50:55.2930000+00:00","Yeah, APBN 2025 for the Women & Child Protection Ministry isn't much","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:51:02.1310000+00:00","I think I have the photos for it","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:51:05.4800000+00:00","And the files too","",""
"902527976678240317","flarexxjeans","2025-04-25T09:51:38.7740000+00:00","can you send it pleaseee","",""
"929685111300059156","glassesofwater","2025-04-25T09:51:47.4700000+00:00","I don’t speak to her that much about it, however she described the main minister as a political hack, and while veronica chaired the equivalent of jakarta","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:52:13.8740000+00:00","","https://cdn.discordapp.com/attachments/1365250382632058970/1365264129052512256/01-Buku-I-RUU-APBN-TA-2025.pdf?ex=6996348d&is=6994e30d&hm=475bfa370427ef83b0fffbe8f34b205a0d2a264e3e22e12594ea06104f4d45d8&",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T09:52:54.1050000+00:00","","https://cdn.discordapp.com/attachments/1365250382632058970/1365264295675297895/Informasi-APBN-Tahun-Anggaran-2025.pdf?ex=699634b5&is=6994e335&hm=5c37f645e6b197d835b572cdc417441c43a80144758fe8e7892a2f27108eafe9&",""
"902527976678240317","flarexxjeans","2025-04-25T09:53:55.1030000+00:00","omg ty so much i need to read it","",""
