AuthorID,Author,Date,Content,Attachments,Reactions
"812158732515541012","rxsebud","2025-11-25T12:13:50.8090000+00:00","so i can practice and learn matter for my competitions","",""
"412926738298044431","jaxxxxxxyyyy","2025-11-25T12:15:32.0050000+00:00","Oh this is good","",""
"812158732515541012","rxsebud","2025-11-25T12:15:32.6590000+00:00","here's how this works: someone picks a genre (or i do) and i present a debate motion in that genre","",""
"812158732515541012","rxsebud","2025-11-25T12:15:45.2330000+00:00","from there, we pick which side we're on","",""
"812158732515541012","rxsebud","2025-11-25T12:15:48.6070000+00:00","(pro vs kontra)","",""
"812158732515541012","rxsebud","2025-11-25T12:15:56.5780000+00:00","and we debate!","",""
"425585007906783232","gksubrata","2025-11-25T12:16:10.8690000+00:00","Oh man.","",""
"812158732515541012","rxsebud","2025-11-25T12:16:13.6650000+00:00","sometimes, i wont debate, instead, i will judge who did better (because.. aku juga harus latihan judging)","",""
"812158732515541012","rxsebud","2025-11-25T12:16:18.2920000+00:00","dont worry","",""
"812158732515541012","rxsebud","2025-11-25T12:16:28.8170000+00:00","i made sure the motions for these topics remain safe","",""
"812158732515541012","rxsebud","2025-11-25T12:16:33.6900000+00:00","and EQUITY RULES apply!","",""
"425585007906783232","gksubrata","2025-11-25T12:16:37.2640000+00:00","I trust you","","pray (1)"
"812158732515541012","rxsebud","2025-11-25T12:16:45.9490000+00:00","same in any varsity debate!","",""
"812158732515541012","rxsebud","2025-11-25T12:17:02.9400000+00:00","anyone say something stupid you'll get an EQUITY from me and i will use moderation on you >:/","",""
"812158732515541012","rxsebud","2025-11-25T12:17:53.4310000+00:00","maybe sometimes, kinda like konco's prompts, i'll randomly drop a debate motion","",""
"812158732515541012","rxsebud","2025-11-25T12:18:02.0820000+00:00","and you guys can debate while i practice judging you HEHEHEHE","",""
"812158732515541012","rxsebud","2025-11-25T12:18:39.6990000+00:00","if i'm not the one debating, i'll decided a winner, not based on if youre right or wrong, but based on whether or not youre more persuasive and more effective in speaking your stance","",""
"812158732515541012","rxsebud","2025-11-25T12:18:41.3420000+00:00","yay!","",""
"812158732515541012","rxsebud","2025-11-25T12:18:43.0000000+00:00","thats it","",""
"812158732515541012","rxsebud","2025-11-25T12:18:51.0860000+00:00","anyone who wants to debate tonight, drop a genre below","",""
"529549424301703196","its_yuru","2025-11-25T12:19:37.8360000+00:00","Any genre?","",""
"812158732515541012","rxsebud","2025-11-25T12:20:03.5270000+00:00","religion, economy, feminism, politics, culture, environment, anything that is a debate genre, yea","",""
"788757996503040002","arnthebest","2025-11-25T12:23:35.1240000+00:00","jakarta transportation","",""
"867421149126197300","chel705","2025-11-25T12:24:12.8970000+00:00","Vc ya?","",""
"812158732515541012","rxsebud","2025-11-25T12:25:03.7020000+00:00","disini aja sih","",""
"812158732515541012","rxsebud","2025-11-25T12:25:08.9140000+00:00","thats why i made the forum bro LOL","",""
"867421149126197300","chel705","2025-11-25T12:25:15.1500000+00:00","Oh ok","",""
"867421149126197300","chel705","2025-11-25T12:25:17.9890000+00:00","Right lmao","",""
"812158732515541012","rxsebud","2025-11-25T12:25:51.5700000+00:00","Motion: This house believes that current transportation planning is failing to meet the needs of women, the elderly, and people with disabilities.","",""
"812158732515541012","rxsebud","2025-11-25T12:26:08.6590000+00:00","if you are PRO you are the house, you support the motion or believe in it

if you are KONTRA you are fighting against it","",""
"867421149126197300","chel705","2025-11-25T12:26:29.0540000+00:00","Kontra","",""
"812158732515541012","rxsebud","2025-11-25T12:26:36.2770000+00:00","chelo kontra","",""
"1327306698838245499","k1mcchii","2025-11-25T12:26:44.3140000+00:00","kontra","",""
"867421149126197300","chel705","2025-11-25T12:26:45.2060000+00:00","_i'm not a jakartan_","",""
"788757996503040002","arnthebest","2025-11-25T12:26:46.7390000+00:00","pro","",""
"812158732515541012","rxsebud","2025-11-25T12:26:52.6760000+00:00","siaap","",""
"867421149126197300","chel705","2025-11-25T12:26:55.0400000+00:00","But ik a bit abt jkt tranpsort","",""
"788757996503040002","arnthebest","2025-11-25T12:27:12.8140000+00:00","pro itu klo setuju ngga meet standarnya kan","",""
"812158732515541012","rxsebud","2025-11-25T12:27:19.3050000+00:00","yes","",""
"788757996503040002","arnthebest","2025-11-25T12:27:23.4190000+00:00","ok","",""
"812158732515541012","rxsebud","2025-11-25T12:27:40.3510000+00:00","pro always starts, so you can begin with your opening statement","",""
"812158732515541012","rxsebud","2025-11-25T12:27:44.7640000+00:00","go figure","",""
"788757996503040002","arnthebest","2025-11-25T12:27:56.3510000+00:00","indo b ing","",""
"812158732515541012","rxsebud","2025-11-25T12:28:01.5060000+00:00","terserah! gpp kok","",""
"812158732515541012","rxsebud","2025-11-25T12:28:08.0730000+00:00","ini ngak formal and i understand both so","",""
"788757996503040002","arnthebest","2025-11-25T12:28:18.6630000+00:00","house itu balkot aja y klo bindo","",""
"812158732515541012","rxsebud","2025-11-25T12:28:28.9500000+00:00","""dewan""","",""
"788757996503040002","arnthebest","2025-11-25T12:28:33.2940000+00:00","oh dewan","",""
"812158732515541012","rxsebud","2025-11-25T12:29:45.5630000+00:00","Mosi (indo): Dewan ini percaya bahwa perencanaan transportasi jakarta saat ini gagal memenuhi kebutuhan wanita, warga lanjut usia, dan penyandang disabilitas.","",""
"788757996503040002","arnthebest","2025-11-25T12:30:54.6150000+00:00","menurut dewan, transportasi umum di jakarta kurang ada safety measuresnya, walau ada cctv, banyak orang masih kurang percaya dan memikirkan sistem transum nya ghoib kecuali MRT Jakarta.
Measures yang bisa ditaro adalah memperbanyak halte yang ada lampu, terutama halte plang diluar jalan besar
Sama juga dengan lansia, transportasi umum kurang ada level boarding, dan ramp untuk di dalam atau diluar bus, dan kapasitas lift LRTJ/JBDB/MRTJ sering digunakan untunmk non lansia/disabilitas","",""
"788757996503040002","arnthebest","2025-11-25T12:31:09.8810000+00:00","banyak yapping sih","",""
"812158732515541012","rxsebud","2025-11-25T12:31:14.5990000+00:00","emang WKWKW","",""
"812158732515541012","rxsebud","2025-11-25T12:31:18.0670000+00:00","itulah debat","",""
"867421149126197300","chel705","2025-11-25T12:31:29.6130000+00:00","That's like the whole point 😂","","😭 (1)"
"788757996503040002","arnthebest","2025-11-25T12:31:42.1250000+00:00","gw takut maksudnya ngga efisien","",""
"867421149126197300","chel705","2025-11-25T12:31:46.5730000+00:00","Kontra pake I/Aku ?","",""
"788757996503040002","arnthebest","2025-11-25T12:31:57.6430000+00:00","banyak balik topik/ngomong yang ga perlu","",""
"812158732515541012","rxsebud","2025-11-25T12:32:04.7530000+00:00","boleh, or ""we""","",""
"812158732515541012","rxsebud","2025-11-25T12:32:06.5010000+00:00","kami","",""
"812158732515541012","rxsebud","2025-11-25T12:32:07.9050000+00:00","kita","",""
"812158732515541012","rxsebud","2025-11-25T12:32:08.6680000+00:00","idk","",""
"867421149126197300","chel705","2025-11-25T12:32:09.0770000+00:00","Oke","",""
"812158732515541012","rxsebud","2025-11-25T12:32:22.9810000+00:00","it was just opening statements, from here on out, bisa debat langsung!","",""
"812158732515541012","rxsebud","2025-11-25T12:32:31.1320000+00:00","we just needed an opening statement from pro side","",""
"788757996503040002","arnthebest","2025-11-25T12:32:42.7300000+00:00","ah","",""
"812158732515541012","rxsebud","2025-11-25T12:32:47.5020000+00:00","^-^","",""
"812158732515541012","rxsebud","2025-11-25T12:33:08.4290000+00:00","from here i know your *stance*","",""
"812158732515541012","rxsebud","2025-11-25T12:33:14.2300000+00:00","kontra? \:)","",""
