AuthorID,Author,Date,Content,Attachments,Reactions
"690886708207681576","azkaryhns.","2025-03-26T22:54:45.6960000+00:00","I need recommendation for a budget shoes (preferably below IDR 2mil, below IDR 1mil is even better) that is comfortable and durable enough to deal with ""slightly harsh"" daily use (long walk, commuting, site visit, motorcycle ride, exercise purposes, etc).","",""
"776844764770861127","snuckel4","2025-03-26T22:59:59.2730000+00:00","hi huhu","",""
"1079558513291964536","huhu_matcha","2025-03-26T23:00:46.0470000+00:00","What kinda exercise? Running or weights?
For weights, flat bottom shoes are better. For running, usually those have higher “heel”/cushioning at the back","",""
"1079558513291964536","huhu_matcha","2025-03-26T23:00:50.5610000+00:00","Hi snuckel","",""
"690886708207681576","azkaryhns.","2025-03-26T23:01:22.3180000+00:00","Average jogging, I can't really run due to several accident on legs","",""
"1064369916351889448","fellowmen","2025-03-26T23:09:30.2960000+00:00","Try push pull and leg exercises using calisthenics first","",""
"1064369916351889448","fellowmen","2025-03-26T23:09:39.4040000+00:00","And then you do some walk,","",""
"1064369916351889448","fellowmen","2025-03-26T23:10:01.9850000+00:00","For shoes I recommend salomon","",""
"690886708207681576","azkaryhns.","2025-03-26T23:10:30.7590000+00:00","Ain't Salomon shoes are for hiking?","",""
"1064369916351889448","fellowmen","2025-03-26T23:12:35.6640000+00:00","More reason for you to use it for walking. Its adaptable for every terrain you to walk on","",""
"690886708207681576","azkaryhns.","2025-03-26T23:15:32.0840000+00:00","Saw the prices, and holy, most of them are over my budget. hopefully I could buy them if I'm stacked enough.

Thanks for the recommendation tho, appreciate it 🫡","",""
"1064369916351889448","fellowmen","2025-03-26T23:16:57.4680000+00:00","Agak susah nyari dibawah 2million","",""
"1064369916351889448","fellowmen","2025-03-26T23:17:10.0840000+00:00","Inflation is suckass","",""
"690886708207681576","azkaryhns.","2025-03-26T23:17:19.8690000+00:00","True","",""
"1064369916351889448","fellowmen","2025-03-26T23:17:21.3210000+00:00","Try Asics then","",""
"1064369916351889448","fellowmen","2025-03-26T23:17:43.2660000+00:00","Perasaan 10 taun lalu 700ribu udah high end shoes","",""
"1193335837916676269","dusman05","2025-03-26T23:18:46.2120000+00:00","Ortus eight is decent local brand if you’re lookimg for smth cheap","",""
"1193335837916676269","dusman05","2025-03-26T23:19:04.1290000+00:00","you can easily get past nike/asics/adidas/NB models for cheaper than 1.8 mill","",""
"1064369916351889448","fellowmen","2025-03-26T23:19:49.5720000+00:00","Wow really, okay","",""
"1193335837916676269","dusman05","2025-03-26T23:20:19.6320000+00:00","the pegasus series from Nike is something i’ve always loved, Adidas Supernova 1 is great, Asics novablasts are good, New Balance 1080 is a big fav of mine","","💯 (1)"
"1193335837916676269","dusman05","2025-03-26T23:20:41.2590000+00:00","these shoes are mostly cushioned enough to withstand a lot of walking and exercise","",""
"690886708207681576","azkaryhns.","2025-03-26T23:32:24.2810000+00:00","I've checked them online one by one and most of them are within my budget (huzzah)

I guess I should find a physical store to try them out (I don't trust online store for buying shoes since I can't test them, been there done that)

Thanks for the recommendation 🫡","","🔥 (1)"
"1193335837916676269","dusman05","2025-03-26T23:34:03.7900000+00:00","bombb, that’s the move, I always try my shoes on before purchasing or if i buy online I find a store that has a wear-test program","",""
"1064369916351889448","fellowmen","2025-03-26T23:34:22.7520000+00:00","Great advice","",""
"1193335837916676269","dusman05","2025-03-26T23:34:46.3140000+00:00","Running shoes nowadays are so much better than 8 yrs ago when i started running fr fr","","👍 (1)"
"563984376585781268","rsnz09","2025-03-27T01:52:26.1100000+00:00","i reckon try visiting @jsncpp on instagram for his shoe brand nomenclature/categorizing as he usually recommends running shoes and occasionally regular shoes","",""
"690886708207681576","azkaryhns.","2025-03-27T03:12:51.6830000+00:00","Oohh interesting","",""
