AuthorID,Author,Date,Content,Attachments,Reactions
"736550209068335135",".ayab","2025-06-01T11:01:33.6450000+00:00","Anything Star War Related","https://cdn.discordapp.com/attachments/1378689927956398151/1378689928199671818/download_2.jpg?ex=699644cd&is=6994f34d&hm=ada5f63551829fbcae23202b1ea2a40308954aa25dbe0c82f4e2fcde42316a2b&",""
"736550209068335135",".ayab","2025-06-01T11:02:11.0930000+00:00","My favorite star wars ship","https://cdn.discordapp.com/attachments/1378689927956398151/1378690085100322836/images.jpg?ex=699644f3&is=6994f373&hm=34df23b4d10f34fc327c35413ba61b0586004788b96c064dde5027ea7067190d&",""
"736550209068335135",".ayab","2025-06-01T11:02:35.7040000+00:00","Hello there","",""
"529549424301703196","its_yuru","2025-06-01T11:02:51.3680000+00:00","Nebulon Design is fire ngl","https://cdn.discordapp.com/attachments/1378689927956398151/1378690253719736370/latest.png?ex=6996451b&is=6994f39b&hm=6874ff3ad4550e5f9ef65556f031b1ea47c2097e6534484c218bd42bfe289d81&",""
"388980048151052290","darthvegan99","2025-06-01T11:02:52.6470000+00:00","https://tenor.com/view/malevolence-gif-13300277416174418539","",""
"388980048151052290","darthvegan99","2025-06-01T11:02:59.9640000+00:00","aura defined","",""
"529549424301703196","its_yuru","2025-06-01T11:03:16.0240000+00:00","Only weakness is that giant ring","",""
"447355732334084107","farron8675","2025-06-01T11:03:22.3190000+00:00","Such a cool design, such an impractical super weapon","",""
"736550209068335135",".ayab","2025-06-01T11:03:42.6120000+00:00","They should have calibrated their enthusiam fr","","😭 (1)"
"388980048151052290","darthvegan99","2025-06-01T11:03:44.3840000+00:00","never said it was perfect, just cool","",""
"388980048151052290","darthvegan99","2025-06-01T11:03:59.5280000+00:00","to be fair the CIS was controlled opposition","",""
"388980048151052290","darthvegan99","2025-06-01T11:04:06.9960000+00:00","couldnt let them cook *too much*","",""
"529549424301703196","its_yuru","2025-06-01T11:04:13.0770000+00:00","did you guys have a ship from the Sequels that ""can"" be liked?","",""
"388980048151052290","darthvegan99","2025-06-01T11:04:18.7560000+00:00","bah","",""
"529549424301703196","its_yuru","2025-06-01T11:04:28.5280000+00:00","I said ""can""","",""
"529549424301703196","its_yuru","2025-06-01T11:04:31.1650000+00:00","not needed","",""
"388980048151052290","darthvegan99","2025-06-01T11:04:33.5780000+00:00","i guess kylo ren's tie","",""
"736550209068335135",".ayab","2025-06-01T11:04:39.4230000+00:00","T 70 x wing and the mc 85","",""
"736550209068335135",".ayab","2025-06-01T11:04:53.8960000+00:00","The new version of ties are pretty good","",""
"1205583169428922401","f4rtl0rd","2025-06-01T11:04:56.2540000+00:00","Confessions: My knowledge of the Star Wars universe are only from the game","",""
"388980048151052290","darthvegan99","2025-06-01T11:04:57.1440000+00:00","idk why i dont like X wings","",""
"447355732334084107","farron8675","2025-06-01T11:04:57.2030000+00:00","but that is still based of legacy designs","",""
"736550209068335135",".ayab","2025-06-01T11:05:00.5180000+00:00","Tbey habe hyper drives","",""
"388980048151052290","darthvegan99","2025-06-01T11:05:02.0870000+00:00","which game","",""
"529549424301703196","its_yuru","2025-06-01T11:05:18.7590000+00:00","Real. Tho its more of a continuation model.","",""
"736550209068335135",".ayab","2025-06-01T11:05:22.9160000+00:00","Supremacy is a good contender for me","",""
"388980048151052290","darthvegan99","2025-06-01T11:05:41.5230000+00:00","I'm in love with Z95 Headhunter from the clone wars era","",""
"736550209068335135",".ayab","2025-06-01T11:05:45.6890000+00:00","If not that siege ship","",""
"1205583169428922401","f4rtl0rd","2025-06-01T11:05:46.8300000+00:00","2 from ps2, and 1 from ps3","",""
"1205583169428922401","f4rtl0rd","2025-06-01T11:05:50.4550000+00:00","The force unleashed","",""
"388980048151052290","darthvegan99","2025-06-01T11:05:53.5450000+00:00","and Grievous' personal fighter","",""
"736550209068335135",".ayab","2025-06-01T11:05:54.5640000+00:00","Yooo","",""
"1205583169428922401","f4rtl0rd","2025-06-01T11:05:59.3610000+00:00","I watched a few episodes tho","",""
"736550209068335135",".ayab","2025-06-01T11:06:02.8660000+00:00","Peak mentioned","",""
"388980048151052290","darthvegan99","2025-06-01T11:06:07.9120000+00:00","sw battlefront 2 and force unleashed?
i played them all","",""
"1205583169428922401","f4rtl0rd","2025-06-01T11:06:14.1970000+00:00","Yeess","",""
"1205583169428922401","f4rtl0rd","2025-06-01T11:06:16.8830000+00:00","Me too","",""
"1205583169428922401","f4rtl0rd","2025-06-01T11:06:22.5150000+00:00","They're awesome ngl","",""
"736550209068335135",".ayab","2025-06-01T11:06:29.0220000+00:00","Srar wars: empire at war anyone?","",""
"1205583169428922401","f4rtl0rd","2025-06-01T11:06:30.9640000+00:00","For the time","",""
"736550209068335135",".ayab","2025-06-01T11:07:19.9970000+00:00","My goal for this forum is for us to eventually raid chillchat with starwars meme","",""
"447355732334084107","farron8675","2025-06-01T11:08:11.2290000+00:00","MODDED","",""
"388980048151052290","darthvegan99","2025-06-01T11:08:14.1120000+00:00","not yet","",""
"447355732334084107","farron8675","2025-06-01T11:08:24.4230000+00:00","yeah thats cool","",""
"388980048151052290","darthvegan99","2025-06-01T11:08:30.6840000+00:00","i really wanna play squadrons but laptop too potato","",""
"529549424301703196","its_yuru","2025-06-01T11:08:44.2230000+00:00","Why tho?
I mean its good and more sleek ngl","",""
"736550209068335135",".ayab","2025-06-01T11:09:01.6390000+00:00","Its a mobile base","",""
"736550209068335135",".ayab","2025-06-01T11:09:09.7960000+00:00","Kinda fits the first order doctrine","",""
"529549424301703196","its_yuru","2025-06-01T11:09:28.5960000+00:00","Compared to Quassar tho?","",""
"529549424301703196","its_yuru","2025-06-01T11:09:44.4210000+00:00","like if you really need a Mobile base with a large capacity","",""
"447355732334084107","farron8675","2025-06-01T11:10:30.6410000+00:00","no matter how stupid this is","https://cdn.discordapp.com/attachments/1378689927956398151/1378692179999854673/Last-Jedi-Holdo-Maneuver-Memorable-Scenes.png?ex=699646e6&is=6994f566&hm=99215c796f17077479b3cc3a02b51ac356c44ad0e21a848dd675f7c16a422799&",""
"447355732334084107","farron8675","2025-06-01T11:10:33.3840000+00:00","its still cool asf","",""
"388980048151052290","darthvegan99","2025-06-01T11:11:30.0520000+00:00","i mean i still dont get how that happened","",""
"388980048151052290","darthvegan99","2025-06-01T11:11:39.2660000+00:00","hyperspace is a different dimension-space entirely","",""
"736550209068335135",".ayab","2025-06-01T11:12:11.9840000+00:00","The writers was smoking some spice","",""
"529549424301703196","its_yuru","2025-06-01T11:12:34.5260000+00:00","tbf some people said its because the jump was hapening so close to the ship","",""
"388980048151052290","darthvegan99","2025-06-01T11:12:35.4170000+00:00","and it seems not the nar shadda kinda spice, but arrakis kinda spice","",""
"736550209068335135",".ayab","2025-06-01T11:19:35.2350000+00:00","Which spice is stronger anyway?","",""
"388980048151052290","darthvegan99","2025-06-01T11:34:23.0690000+00:00","prolly arrakis'","",""
"736550209068335135",".ayab","2025-06-01T14:09:58.5040000+00:00","https://youtu.be/JMDoAdGsdNU?si=Oq1Hb11JiDvV8RPx","",""
"529549424301703196","its_yuru","2025-06-01T14:10:43.1640000+00:00","NUH UH 🗣️ 🔥","",""
"736550209068335135",".ayab","2025-06-01T14:10:54.9880000+00:00","https://youtu.be/DL43CDhPmk4?si=lArMtaHMYa0K1ymD","",""
"736550209068335135",".ayab","2025-06-01T14:10:59.5620000+00:00","Better version","",""
"529549424301703196","its_yuru","2025-06-01T14:14:34.9700000+00:00","https://youtu.be/W_JlUegZ1vs
The Prequel","",""
"736550209068335135",".ayab","2025-06-01T14:19:42.0450000+00:00","https://youtu.be/8VJt02oVAbw?si=VXEAeuGAFq14AaWC","",""
"388980048151052290","darthvegan99","2025-06-01T15:12:08.0930000+00:00","have y'all watched the fan film made by star wars theory (youtuber)","",""
"529549424301703196","its_yuru","2025-06-01T15:16:16.9990000+00:00","what kind of video you mean?","",""
"388980048151052290","darthvegan99","2025-06-01T15:19:40.9190000+00:00","https://youtu.be/Ey68aMOV9gc?si=6TTGPqCZRM7n1-al","",""
"388980048151052290","darthvegan99","2025-06-01T15:23:36.1650000+00:00","@Ayab The Pineapple seen this before?","",""
"736550209068335135",".ayab","2025-06-01T15:24:27.0740000+00:00","Oh isnt thats thw gjy that says the empire doenst condemn r word?","",""
"388980048151052290","darthvegan99","2025-06-01T15:28:51.0610000+00:00","maybe? idk i dont keep up with drama","",""
"226662955142348800","tyastro","2025-06-01T15:57:26.2870000+00:00","Would you smash Yoda?","",""
"736550209068335135",".ayab","2025-06-01T16:17:42.3660000+00:00","Would we what?","",""
"388980048151052290","darthvegan99","2025-06-01T16:32:35.9140000+00:00","Nein","",""
"388980048151052290","darthvegan99","2025-06-01T16:32:41.1430000+00:00","i dont do the elderly","",""
"388980048151052290","darthvegan99","2025-06-02T13:16:30.1480000+00:00","@Ayab The Pineapple","",""
"388980048151052290","darthvegan99","2025-06-02T13:16:44.4080000+00:00","how strong in the force should Naruto and Sasuke be","",""
"736550209068335135",".ayab","2025-06-02T13:16:44.9310000+00:00","Yeah?","",""
"388980048151052290","darthvegan99","2025-06-02T13:17:00.3330000+00:00","maybe Windu level? or Palpatine level","",""
"388980048151052290","darthvegan99","2025-06-02T13:17:12.0320000+00:00","are we gonna make them starkiller level:pray:","",""
"736550209068335135",".ayab","2025-06-02T13:17:59.9800000+00:00","No💀 💀 💀","",""
"736550209068335135",".ayab","2025-06-02T13:18:26.1230000+00:00","If they are too powerfull palpatine will make them his intrest","",""
"388980048151052290","darthvegan99","2025-06-02T13:18:39.8370000+00:00","at least windu level then, of course not immediately","",""
"736550209068335135",".ayab","2025-06-02T13:18:49.8860000+00:00","I say cal kestis","",""
"388980048151052290","darthvegan99","2025-06-02T13:18:59.5720000+00:00","they still gonna have prodigy level of using the force because of their action filled life in the past","",""
"388980048151052290","darthvegan99","2025-06-02T13:19:08.7170000+00:00","if anything using the force is easier than chakra","",""
"736550209068335135",".ayab","2025-06-02T13:19:26.4510000+00:00","More finnese and skill than bruteforce","",""
"736550209068335135",".ayab","2025-06-02T13:19:39.4150000+00:00","Theyll focus on the physical enhacing stuff","",""
"736550209068335135",".ayab","2025-06-02T13:19:46.8100000+00:00","Not raw force power","",""
"736550209068335135",".ayab","2025-06-02T13:20:30.2710000+00:00","Naruto will pronb have high affinity with negotiations and and mind controll tho","",""
"388980048151052290","darthvegan99","2025-06-02T13:33:58.7750000+00:00","Maybe more gifted with healing, visions, and those you mentioned","",""
"388980048151052290","darthvegan99","2025-06-02T13:34:31.3960000+00:00","sasuke with force lightning, stealth, and precognition during combat

good at channeling the dark side without being too consumed by it","",""
"529549424301703196","its_yuru","2025-06-02T13:40:36.9190000+00:00","Hey , did anyone here watch Resistance?","",""
"529549424301703196","its_yuru","2025-06-02T13:41:00.9440000+00:00","","https://cdn.discordapp.com/attachments/1378689927956398151/1379092443437465640/72c51b9eb6eaf81a380094c2fb0e235842b84aa94c2be780bb7d56ae584a59a8.png?ex=69966a2c&is=699518ac&hm=db172c774ca0c279d76f92c5aef34c4d7f48df3a5f8afac79e153407b9d1ed27&",""
"736550209068335135",".ayab","2025-06-02T13:46:13.7340000+00:00","I tried","",""
"736550209068335135",".ayab","2025-06-02T13:46:24.1790000+00:00","I reallt tried","",""
"529549424301703196","its_yuru","2025-06-02T13:46:32.2970000+00:00","is it really that bad?","",""
"529549424301703196","its_yuru","2025-06-02T13:46:37.0820000+00:00","I mean it looks fine","",""
"529549424301703196","its_yuru","2025-06-02T13:46:41.8060000+00:00","like rebels season 1","",""
"736550209068335135",".ayab","2025-06-02T13:46:48.9510000+00:00","I cant get past the animation style","",""
"736550209068335135",".ayab","2025-06-02T13:47:06.0220000+00:00","Its so far apart from rebells and clone wars","",""
"529549424301703196","its_yuru","2025-06-02T13:47:57.6490000+00:00","Is it worth a watch tho?","",""
"736550209068335135",".ayab","2025-06-02T13:52:57.3940000+00:00","No","",""
"388980048151052290","darthvegan99","2025-06-02T14:49:30.8240000+00:00","me too:sad:","",""
"388980048151052290","darthvegan99","2025-06-02T14:49:39.0050000+00:00","it was... very uninspiring","",""
"447355732334084107","farron8675","2025-06-02T16:56:28.9360000+00:00","we shouldve gotten rogue squadron instead of this heaping pile of bantha fodder","","✅ (3)"
"388980048151052290","darthvegan99","2025-06-02T16:57:39.2300000+00:00","at least make the old republic canon","",""
"388980048151052290","darthvegan99","2025-06-02T16:57:53.6210000+00:00","or yuuzhan vong arc than the sequel trilogy","",""
"736550209068335135",".ayab","2025-06-03T01:21:19.1010000+00:00","https://youtu.be/g8dDxniVeb8?si=bo8DfqZUKewuiDxS","",""
"736550209068335135",".ayab","2025-06-03T01:21:32.9840000+00:00","Tue Old Republic is still canon","",""
"736550209068335135",".ayab","2025-06-03T01:21:41.0540000+00:00","So is Revan and Bastille Shan","",""
"388980048151052290","darthvegan99","2025-06-03T09:36:10.9380000+00:00","@Ayab The Pineapple are we pairing naruto and sasuke in SW with anyone?","",""
"736550209068335135",".ayab","2025-06-03T09:37:08.6470000+00:00","Yep","",""
"736550209068335135",".ayab","2025-06-03T09:37:15.3710000+00:00","Im just finding free time","",""
"736550209068335135",".ayab","2025-06-03T09:37:18.4570000+00:00","Nest friday im free","",""
"388980048151052290","darthvegan99","2025-06-03T09:37:27.7960000+00:00","roger roger","",""
"736550209068335135",".ayab","2025-06-03T09:37:29.3840000+00:00","I have so many competition right. Kw","",""
"388980048151052290","darthvegan99","2025-06-03T09:37:32.5210000+00:00","who are you pairing naruto with","",""
"388980048151052290","darthvegan99","2025-06-03T09:37:53.2870000+00:00","no worries im not rushing you, just wanna have a figure of the direction we're going at","",""
