AuthorID,Author,Date,Content,Attachments,Reactions
"783936302436843564","jaludwip","2025-04-21T01:40:32.9350000+00:00","I'm a nursing student and i've been 2 semester going on. I got opportunity to enroll international class that mostly using  English in luctures. So, i'm intersted to take study or work in nursing field in the future, any suggestions to prepare living abroad from anyone who ever or currently abroad in nursing field or just living abroad","",""
"1193335837916676269","dusman05","2025-04-21T01:53:36.9830000+00:00","I would say take the extra opportunity to learn the local culture before you move there to minimize the culture shock","",""
"1193335837916676269","dusman05","2025-04-21T01:54:14.7290000+00:00","i’m currently in the US and I was already well versed with american culture and norms before i came here so the culture shock wasn’t too big","",""
"783936302436843564","jaludwip","2025-04-21T01:58:03.8630000+00:00","But the problem is i dont know what country i want in, i'm still blurry lol","",""
"1193335837916676269","dusman05","2025-04-21T01:58:12.2450000+00:00","what options do you have?","",""
"783936302436843564","jaludwip","2025-04-21T02:00:46.9650000+00:00","I think singapore or new Zealand (probably)","",""
"1193335837916676269","dusman05","2025-04-21T03:41:19.4020000+00:00","ahh sg wont be too big of a culture change ig","",""
"1193335837916676269","dusman05","2025-04-21T03:41:21.5960000+00:00","but NZ will","",""
"783936302436843564","jaludwip","2025-04-21T05:18:16.6590000+00:00","Ah that's why i prefer to choose sg because still in Asia","",""
"1193335837916676269","dusman05","2025-04-21T22:11:50.7760000+00:00","and not too far from home too 🙂","",""
"783936302436843564","jaludwip","2025-04-22T03:36:33.3600000+00:00","Yeah still in south east asia","",""
