AuthorID,Author,Date,Content,Attachments,Reactions
"736550209068335135",".ayab","2025-03-23T01:38:16.1910000+00:00","A coveted revered concept, a unifier of the ungovernable, long stand as the ultimate form of the great Indonesian project; is but an empty vessel that symbolize the hopes of our founder, yet its soul is empty with naught to seek its beauty.

Our language, the thing we have duty to maintain and guard against the progress of time, is slipping away from our grasp like loose sand in our hand.

We do not have a mold to cement them into something corporeal that can be the axis of our language saga and journey. No great figure like Shakespeare and tolkien to be coveted, to be look upon with envy and reverence, no epic and sagas that is formed by the culture we have. 

Our classes just stand empty, never highlighting with great concise the figure within our literature to be taught as example for our students to learn form. 

What is a structure for a language if it's garden is desolate without life. 

A great tragedy for our nation","https://cdn.discordapp.com/attachments/1353181020568158241/1353181131729797150/images_10.jpg?ex=699669a2&is=69951822&hm=31922b2cf7e325105d4eb7b02759c84a2afecb9d80c833919bfeff4f128b825b&","😿 (1)"
"185435194746994690","adi_onysus","2025-03-23T03:38:09.8220000+00:00","We have words, yet few choose to mold them into lasting legacies. Our bookshelves gather dust while our eyes gleam at headlines, and they never linger long enough to even absorb the ideas to the depth of thought. The world no longer reads; it scrolls. Reading has never been a deeply ingrained habit amongst Indonesia's populace, and thus this decline is even more apparent.

Towering figure--Shakespeare, Mark Twain, Tolkien--have shaped English into what it is today. But our language lacks widely celebrated literary icons who praise its essence. Pramoedya, Sapardi, Chairil Anwar, these names remain unsung and not given the recognition they deserve. Our classrooms do not echo with their words, and so the students move on, unaware of the giants that walked before them, and even among them.

Perhaps this is simply the reality of our time. A world too fast, too fleeting, where the beauty of language is lost in the rush of information. But if a language is to endure beyond function--if it is to be more than just a means of speech--it must have its champions, its poets, its visionaries.","",""
"736550209068335135",".ayab","2025-03-23T03:55:56.1640000+00:00","What seeks in the fleeting time to find meaning in our language? What sorrows been written, what love and emotion yet to hold us in awe for our long standing fascination towards the fleeting that is beautiful. Those, the one who seeks it's majesty their song yet sunged as heroes of our age, not given the accolades and tribute they deserving of. The minds and the life of our people could fill the largest libraries in the world and yet it won't be enough. To look upon the state of our language, our literature, is to look upon a desolate place while a verdant garden is maintained and cherished next to you.

Great envy has already risen within me everytime i see how they, our enemies and foes, has been the gardener of their own roots, while we, famished with nothing to harvest.

When you said that the time for wonder of literature time to be forged and made already gone and never to return, I can't help but to hold out tears in my eyes, for your words are true and painful to admit","",""
"736550209068335135",".ayab","2025-03-23T04:03:53.6350000+00:00","And questions for the ages: how do we flame the passion to write in our language? To celebrate our culture and way of mind with no restraint.

To loom upon theaters as it it filled with eager watchers proud of their people creations.

To be proud of your language, to bragg it towards the world as you cherish all of its whole.

A love for the imagination of our people, a devotion towards more of its creation and evolution","",""
"736550209068335135",".ayab","2025-03-23T04:04:48.2300000+00:00","Yet time is cruel

What can you naught but do but just watch with great torment as the foundation of our very republic destroyed brick-by-brick","",""
"753466051869802556","island_doge","2025-03-23T07:11:26.7620000+00:00","The indonesians are mostly Literate but most of them are lazy to read a book, great books were purged during the new order and people opressed from making great things. Maybe we could've had a philosopher internationally recognized by people around the world, but opression did this to us, limiting the great imagination of our people and us lacking the good legacy of our literacy.","",""
"882111176006328440","nerosalt","2025-03-23T12:46:07.1250000+00:00","A stomach without food? A horse without hay? A mule without its carrot?

The simple ability to read is meaningless when you keep it as that.

Poets like Shelley and Keats, and Poe and legends like Dylan Thomas, to avant-garde icons such as Mayakovsky, even writers like Lovecraft and Orwell, one thing differentiates them from your disgraceful Tribune writer.
In the words they write, they carve a shard of their very soul into the thin paper. In every sentence a emotion, feeling, frozen in time. A memory, a window into their minds. Each letter piercing our skulls, painting a sight greater than what our eyes can see.
From the Fields of Elysium to the horrors beyond our comprehension, the words are more than mere shapes on a sheet of wood.","",""
"882111176006328440","nerosalt","2025-03-23T12:52:20.7710000+00:00","Our people have no need for this.","",""
"882111176006328440","nerosalt","2025-03-23T12:53:16.2370000+00:00","The simple fulfilment of their desires, shallow romance, their need and lust satiated.","",""
"882111176006328440","nerosalt","2025-03-23T12:54:27.1410000+00:00","It saddens me to see great writers from our beloved homeland, ignored and forgotten.","",""
"882111176006328440","nerosalt","2025-03-23T12:54:53.4670000+00:00","I guess their dreams will never come to fruition.","",""
"882111176006328440","nerosalt","2025-03-23T12:56:16.2670000+00:00","The writer oppressed by the state, and the reader surpressed by the society.","",""
"753466051869802556","island_doge","2025-03-23T13:52:00.5610000+00:00","We could've had an indonesian George orwell, Nietszche and many others","",""
"753466051869802556","island_doge","2025-03-23T13:53:11.1090000+00:00","Pramoedya is the closest to orwell imo","",""
"882111176006328440","nerosalt","2025-03-23T14:43:55.5480000+00:00","We have pretty good writers yk","",""
"882111176006328440","nerosalt","2025-03-23T14:44:07.3190000+00:00","Most recent read was Teh dan Pengkhianat","",""
"882111176006328440","nerosalt","2025-03-23T14:44:27.6900000+00:00","(bought it LAST YEAR but my friend borrowed it, didnt read it then gave it back february)","",""
"882111176006328440","nerosalt","2025-03-23T14:44:37.4620000+00:00","The quote in my bio is from the book","",""
"882111176006328440","nerosalt","2025-03-23T14:44:41.8810000+00:00","Short n sweet read","",""
"736550209068335135",".ayab","2025-03-23T14:49:44.1110000+00:00","We have good writers but they don't get the fame they deserve","",""
"882111176006328440","nerosalt","2025-03-23T14:50:01.8490000+00:00","yuh","",""
"882111176006328440","nerosalt","2025-03-23T14:50:07.9360000+00:00","look at my poem","",""
"882111176006328440","nerosalt","2025-03-23T14:50:54.7550000+00:00","ruu tni
people climb atop cars
yet
police shit out tear gas
and the police play inside the gas
now whos the pig?","",""
"753466051869802556","island_doge","2025-03-23T14:58:20.4600000+00:00","🔥","",""
"882111176006328440","nerosalt","2025-03-23T15:00:03.2490000+00:00","another poem, specifically for island doge","",""
"882111176006328440","nerosalt","2025-03-23T15:00:30.4380000+00:00","skibid toilet ohio rizz
ruu tni now ruu polisi?
skibidi toilet ohio rizz","",""
"882111176006328440","nerosalt","2025-03-23T15:00:36.0170000+00:00","its called a villanelle","",""
"753466051869802556","island_doge","2025-03-23T15:15:19.2500000+00:00","kelazz","",""
"753466051869802556","island_doge","2025-03-23T15:16:06.6590000+00:00","""Sepuluh 🗣🔥""","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T15:24:42.0810000+00:00","Ohhh I have one too for that","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T15:25:26.2850000+00:00","""skibidi gyatt rizz only in ohio duke dennis did you pray today livvy dunne rizzing up baby gronk sussy imposter pibby glitch in real life sigma alpha omega male grindset andrew tate goon cave freddy fazbear colleen ballinger smurf cat vs strawberry elephant blud dawg shmlawg ishowspeed a whole bunch of turbulence flabbergasted after that...can't even mew in oklahoma free robux gltich working 2025 we can go gyatt for gyatt is that a jojo reference ? oh my god wat da hail!!!! Admin uzoth caught doing thug shake on zioles before dragon rework its not gonna come out ? Oh really? I will edge on your face while mewing to femboy hooters, you can't stop the alpha now watermelon cat is my baby daddy, you're are my sunshine bro really said 💀 i wish I had a level 10 gyatt like you it boosts my aura auramaxxing heard of that ? blud thinks he's the main character ahh scene ! amogus when the imposter is sus 19 dollar fortnite card who wants it and yes I'm giving it way so share share shær shalabikariririrororoshubalabur oh so you're approaching me?""","",""
