AuthorID,Author,Date,Content,Attachments,Reactions
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:05:29.4720000+00:00","Basically I found this one nation roleplay server that got the alternative historical theme of Russian Warlordism. This is where the 1992 crisis and downfall of USSR caused Russia to be splitted into many smaller states and factions, with each warlords controlled their own regions. I just wanted to retell my journey and rp stories here as I had dwelled for like a day in there. But before that, let's see the lore for it:

Lore:
On August 18, 1991, a coup attempt was launched against Soviet President Mikhail Gorbachev by a coalition of hardline Communist officials, military officers, and KGB leadership. The coup, orchestrated by the State Committee on the State of Emergency (GKChP), sought to prevent further political and economic liberalization, citing the instability of the union as justification. Gorbachev was placed under house arrest in Foros, Crimea, while Moscow was flooded with troops and armored vehicles.

Initially, the coup leaders controlled major state media outlets and government buildings, but their grip began to weaken almost immediately. Several regional leaders, including Boris Yeltsin in the Russian SFSR, refused to recognize their authority. Mass protests broke out in Moscow, Leningrad, Kyiv, and other major cities. Some military units hesitated or outright refused orders, while others aligned themselves with various political factions, creating a rapidly fracturing situation.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:05:58.0700000+00:00","By August 19, the GKChP’s ability to maintain order had deteriorated significantly. Conflicting orders were issued by different branches of the government, with some generals calling for martial law while others declared loyalty to their regional governments. Communications between different command centers broke down as competing factions seized television and radio stations to broadcast their own declarations of legitimacy. Reports emerged of entire divisions in the military defecting, with some commanders openly refusing to recognize Moscow’s authority.

On August 20, fighting erupted in Moscow. Loyalist forces attempted to storm the Russian White House, where Yeltsin and his supporters had established a resistance headquarters, but they were repelled after intense clashes. Elsewhere in the city, armed groups of police, KGB officers, and soldiers engaged in sporadic firefights as various factions vied for control. Outside of Moscow, several regions declared their independence outright, while others claimed to be the rightful government of the Soviet Union, leading to a chaotic proliferation of self-declared authorities.

By August 21, the Soviet government had effectively ceased to function as a single entity. Some members of the GKChP fled the capital, while others were arrested or killed in fighting. The military splintered, with different units following different chains of command. Some republics declared full independence, while others sought to reestablish a new Soviet authority under their own leadership. With no clear center of power, the USSR entered a period of uncontrolled fragmentation, with rival governments, military factions, and political movements all vying for dominance.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:06:24.1600000+00:00","Changed the channel name: The Fight For Hegemony: An Alt History of Russian Warlordism NRP","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:07:15.9700000+00:00","Eastern Europe & Russia, 1992","https://cdn.discordapp.com/attachments/1363531024708931625/1363531471163490345/TFFHs5_20250415121950.png?ex=69967e63&is=69952ce3&hm=b0195d17b2cc83185b6db39392255e8ddba841fd3b02926b474a9baf88bdaf38&",""
"983629435850854441","ukrainumedved","2025-04-20T15:07:52.7780000+00:00","I love USSR maps","",""
"983629435850854441","ukrainumedved","2025-04-20T15:08:16.2940000+00:00","Hmm... all oblasts krias and okrugs independent? That's...... a blast","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:09:11.1650000+00:00","# CENTRAL EUROPEAN PLAINS

**1. Republic Of Estonia**
Ideology: Transitioning Democracy

**2. Republic Of Latvia**
Ideology: transitioning democracy

**3. Republic Of Lithuania**
Ideology: transitioning Democracy

**4. State Of New Prussia**
Ideology: Authoritarian Democracy

**5. Republic Of Belarus** (player)
Ideology: Provisional Government

**6. Byelorussian Soviet Socialist Republic**
Ideology: Hardline Socialism

**7. Chernobyl Exclusion Zone** (player)
ideology: Technocracy

**8. Republic Of Ukraine** (player controlled)
Ideology: Transitional Democracy

**9. Ukrainian National Assembly**
Ideology: National Catholicism

**10. Rusyn State**
Ideology: Military Junta (assuming they are some sort of liberation army)

**11. Republic Of Moldova**
Ideology: Transitional Democracy 

**12. Gaugazian Liberation Committee**
Ideology: Military Junta

**13. Union Of Ukrainians in Odessa**
Ideology: Military Junta

**14. Administrative Territories On The Eastern Side Of the Niester**
Ideology: Flexible Socialism

**15. Ukrainian Naval Commission**
Ideology: Military(or naval?) Dictatorship

**16. Council Of Crimea** (player)
Ideology: Anarchism

**17. Soviet Restoration Government.**
Ideology: Reformist Socialism

**18. Ukrainian Soviet Socialist Republic**
Ideology: Reformist Socialism","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:09:14.4720000+00:00","","https://cdn.discordapp.com/attachments/1363531024708931625/1363531968356286644/Screenshot_20250415-130623.png?ex=69967eda&is=69952d5a&hm=0033c963656846874704824fbdafbc3e443ba04705a4edeeb2c4f00bcab9c381&",""
"983629435850854441","ukrainumedved","2025-04-20T15:09:58.0000000+00:00","Can i play a one russian war lord?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:10:08.6440000+00:00","you want the invite for the server?","",""
"983629435850854441","ukrainumedved","2025-04-20T15:10:32.5610000+00:00","Idk, probably? And possiblu will not participate","",""
"983629435850854441","ukrainumedved","2025-04-20T15:10:45.4250000+00:00","Wanna make a mongolic state apparently","",""
"983629435850854441","ukrainumedved","2025-04-20T15:10:53.5420000+00:00","Unifying the USSR.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:11:15.8200000+00:00","# BALTIC AND NOVGOROD AREA

**1. Leningrad Special Administration** (player controlled)
Ideology: Conservative Socialism 

**2. Lagoda Soviet Command**
Ideology: Reformist Socialism

**3. Pskov Security Zone**
Ideology: Securocratic Socialism

**4. USSR Government In Novgorod**
Ideology: Neo-Stalinism (idk if it means the communist party or a USSR rival government)

**5. Tver Democratic Republic**
Ideology: Democracy

**6.People's State Of Yaroslavl**
Ideology: Agrarian Nationalism

**7. Smolensk National Salvation Government**
Ideology: Ultranationalism","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:11:17.4640000+00:00","","https://cdn.discordapp.com/attachments/1363531024708931625/1363532483999699175/Screenshot_20250414-142850.png?ex=69967f55&is=69952dd5&hm=b6287ee04a86aa24bc72c1785a227ce834864fbe2c12bfe3cccb1f923248fb7e&",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:11:30.5190000+00:00","k I will send the invite in DMs","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:14:01.0350000+00:00","# ARCTIC OBLASTS

**1. Murmansk People's Republic**
Ideology: Conservative Socialism

**2. Republic Of Karelia**
Ideology: Transitional Democracy

**3. Karelian Security Zone**
Ideology: Military Junta

**4. North Russian Defense Union**
Ideology: Military Dictatoship

**5. Neo-Communist Party Of The Soviet Union.**
Ideology: Trotskyism

**6. Communal Soviet Republic**
Ideology: Agrarian Socialism

**7. Vologdan Worker's Authority**
Ideology: Syndicalism

**8. Kostroma Transitional Authority**
Ideology: Provisional Government

**9. Social Republic Of Nenetsia**
Ideology: Politically Incorrect Socialism

**10. Komi Soviet**
Ideology: Reformist Socialism

**11. Republic Of Komi-Syktivkar**
Ideology: Oligarchy 

**12. UN Mandate of the Arctic Islands**
Ideology: Centrist Technocracy","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:14:02.6970000+00:00","","https://cdn.discordapp.com/attachments/1363531024708931625/1363533177301504045/Screenshot_20250414-204615.png?ex=69967ffa&is=69952e7a&hm=00ebec927ff6fbb464485c6346c71ae0efbb5daf3722f3bbc2d42c6515f122cf&",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:15:02.9790000+00:00","# GREATER MOSCOW AREA

**1. True Russian Government**
Ideology: Nationalism

**2. Free Russian Republic**
Ideology: Social Democracy 

**3. State Committee On The State Of Emergency**
Ideology: Hardline Communism

**4. Russian Republic**
Ideology: Yeltsinism

**5. Kalugan Alliance Of Advancement**
Ideology: Authoritarian Mysticism

**6. New Soviet Russian State** (player)
Ideology: Reformed Socialism

**7. People's Soviet Republic**
Ideology: Conservative Socialism

**8. National Bolshevik People's Army In Oryol**
Ideology: National Bolshevism

**9. Lipetsk Agricultural Collective Of Soviets**
Ideology: Agrarian Socialism

**10. Tambov Governorate**
Ideology: Civilian Dictatorship

**11. Military Alliance Of Kursk** (player)
Ideology: Military Dictatorship

**12. Yanayev's Army Of The SCSE**
Ideology: Hardline Socialism

**13. Greater Russian Army**
Ideology: Ultranationalism","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:15:05.0790000+00:00","","https://cdn.discordapp.com/attachments/1363531024708931625/1363533438837067877/Screenshot_20250414-211801.png?ex=69968039&is=69952eb9&hm=7bc75f0bfa7223837b9862085ea750ad9d7be305f3fd13e0defe3aed639d0f92&",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:15:50.9110000+00:00","# CAUCASIA 

**1. Greater Russian State**
Ideology: Fascism

**2. Protectorate Of Holy Russia**
Ideology: Clerical Fascism

**3. Yazov's Legion**
Ideology: Stratocratic Communism

**4. Soviet Military Front** (player controlled)
Ideology: Reformist Socialism

**5. Kuban Cossack Host**
Ideology: Conservatism

**6. New White Army**
Ideology: Military Junta

**7. Republic Or Abkhazia**
Ideology: Transitioning Democracy

**8. Soviet Republic Of Greater Alania**
Ideology: Neo-stalinism

**9. Chechen Republic Of Ichkeria**
Ideology: Military Junta

**10. National Islamic State Of Dagestan**
Ideology: Theocracy

**11. Republic Of Georgia**
Ideology: Transitioning Democracy

**12. Republic Of Armenia**
Ideology: Transitioning Democracy

**13. Transcaucasian SSR**
Ideology: Hardline Socialism

**14. Republic Or Azerbaijan**
Ideology: Transitioning Democracy

**15. Lezgian State**
Ideology: Military Junta","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:15:51.7860000+00:00","","https://cdn.discordapp.com/attachments/1363531024708931625/1363533634790756562/Screenshot_20250414-223813.png?ex=69968067&is=69952ee7&hm=78cb60f742a59d1fc5bef0e71686980186950621e4a22517f27f8a43ffca9040&",""
"983629435850854441","ukrainumedved","2025-04-20T15:15:53.2900000+00:00","TROTSKYIST STATE?!! YEAAAAA","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:16:59.1280000+00:00","# TURKESTAN

**1.Federation of Atyrau**
Ideology: Transitional Democracy 

**2. Aktobe Khanate**
Ideology: Absolute Monarchy

**3. Supreme Presidium Of The Kazakh Soviet Socialist Republic**
Ideology: Flexible Socialism

**4. Islamic State Of Karaganda**
Ideology: Theocracy

**5. Russo-Kazakh State**
Ideology: Authoritarian Democracy

**6. Aktau Purification Army**
Ideology: Ultranationalism

**7. Republic Of Karakalpakstan**
Ideology: Transitioning Democracy

**8. National State Of Khiva**
Ideology: Revolutionary Nationalism

**9. Baikonur Defense Force**
Ideology: Military Junta

**10. Republic Of Kazakhstan**
Ideology: Transitioning Democracy

**11. Turkmen Islamic Soviet Republic**
Ideology: Islamic Socialism 

**12. Khanate Of Bukhara**
Ideology: Absolute Monarchy

**13. Republic Of Uzbekistan**
Ideology: Transitioning Democracy

**14. Tajik Independent Soviet Republic**
Ideology: Agrarian Socialism

**15. Islamic Emirate If Kokand**
Ideology: Theocracy

**16. Kirghiz Socialist Republic**
Ideology: Hardline Socialism

**17. Ugyur Refugee Militia**
Ideology: Military Junta

**18. Organization For The Liberation Of The Kirghiz People**
Ideology: Military Junta","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:17:00.7410000+00:00","","https://cdn.discordapp.com/attachments/1363531024708931625/1363533923824566302/Screenshot_20250414-230850.png?ex=699680ac&is=69952f2c&hm=99ffb4ddff9a3a24bf96160c0ed25fcc0277b66d255f4df4b131c0435264d5f0&",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:17:56.5750000+00:00","# SIBERIA

**1. Free Markets Of Khanti Mansi**
Ideology: Libertarian

**2. United Corporations Of Norilsk**
Ideology: Corporatism

**3. Neo-Communist Party Base in Tomsk**
Ideology: Trotskyism

**4. Technate Of Sverdlovsk**
Ideology: Technocracy

**5. Sovereignty Of Tyumen**
Ideology: Monarchism

**6. Omsk Soviet** (player)
Ideology: Agrarian Socialism

**7. People's Republic Of Novosibirsk** (player)
Ideology: Neo-Stalinism 

**8. Enlightened Disciples Of Alexandr Dughin**
Ideology: Eurasianism

**9. Krasnoyarsk Democratic Soviet Republic**
Ideology: Reformist Socialism

**10. New Aryan Nations**
Ideology: Neo-Nazism and Russian Lebensraum 

**11. Russian Fascist Party**
Ideology: Fascism

**12. Autonomous Central Siberian Confederation**
Ideology: Nationalism 

**13. Independent Monks Of The Altai Mountains**
Ideology: Theocracy

**14. Tuvan National Salvation Government** (player)
Ideology: Military Junta

**15. Tuvan Soviet Republic**
Ideology: Hardline Socialism","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:17:58.4520000+00:00","","https://cdn.discordapp.com/attachments/1363531024708931625/1363534166100152380/Screenshot_20250415-113732.png?ex=699680e6&is=69952f66&hm=7dfee5baaa2da013cd65c1a001eeb270faebdad4c6b6c210158be7cde481fd26&",""
"412926738298044431","jaxxxxxxyyyy","2025-04-20T15:18:50.4910000+00:00","# Western Ural Steppe

**1. Technocratic Republic Of Gorky**
Ideology: Oligarchal Technocracy

**2. People's Assembly Of The Mari El Republic**
Ideology: Reformist Socialism

**3. Free Territory Of Vyatka**
Ideology: National Syndicalism 

**4. Free Udmurtia**
Ideology: Anarcho-communism

**5. Perm Soviet Government**
Ideology: Hardline Socialism

**6. Mordovian Autonomous Guard**
Ideology: Military Junta

**7. Chuvash Transitional State Committee**
Ideology: Provisional Government

**8. Independent Republic Of Tatarstan**

**9. Islamic Emirate Of Tatarstan**
Ideology: Theocracy

**10. Bashkarostani State**
Ideology: Authoritarian Democracy 

**11. Penzan Aeronautics and Space Administration**
Ideology: Technocracy

**12. Eastern Sons Of Napoelon** (player)
Ideology: Bonapartism

**13. March Of The Middle Volga** (player)
Ideology:  Neo-Feudalism

**14. Agrarian Republic Of Orenburg**
Ideology: Agrarian Socialism

**15. Republic Of Saratov** (player)
Ideology: Civilian Dictatorship","",""
