AuthorID,Author,Date,Content,Attachments,Reactions
"191651271789379586","istirahato","2026-01-14T12:21:43.8680000+00:00","Just dumping place as to learn this Sim-city like game","https://cdn.discordapp.com/attachments/1460972148985299008/1460972149257932866/FB_IMG_1768393187661.jpg?ex=69965797&is=69950617&hm=628afbf12fa5daa3f6e9ed4f32e8d8145b8107f10ced28d6cc33fee8b89090ea&","💀 (6)"
"191651271789379586","istirahato","2026-01-14T12:29:13.7060000+00:00","Baru coba mode sandbox after awhile.","https://cdn.discordapp.com/attachments/1460972148985299008/1460974035453087947/Iceicel_26-01-14_13.28.09.png?ex=69965959&is=699507d9&hm=9b762f4eed01c0b637ceece827008d52e9bb6a4dec1b4b7f5db75eabd1a34335&",""
"191651271789379586","istirahato","2026-01-14T12:29:54.5450000+00:00","Wait, ah so the screen shot feature is not including the stats also","",""
"891545423238537236","murzzbow","2026-01-14T12:32:22.9340000+00:00","Oh nice","",""
"891545423238537236","murzzbow","2026-01-14T12:32:37.8470000+00:00","Gw baru mau bikin forum theotown juga buat belajar main","","pray (3)"
"191651271789379586","istirahato","2026-01-14T12:32:40.7090000+00:00","The recent stats of my 24hr city. I do realize that this is sandbox mode but it is kinda helped me to refresh, since they got improvements in public transportation updates also (which is addicting!)","https://cdn.discordapp.com/attachments/1460972148985299008/1460974903556837418/Screenshot_20260114-133055.png?ex=69965a28&is=699508a8&hm=539ae5f524c4bd73dd370cedfa4e0d6625a8b92de723fa1195560312952cc8d2&,https://cdn.discordapp.com/attachments/1460972148985299008/1460974903917281340/Screenshot_20260114-133114.png?ex=69965a28&is=699508a8&hm=41c713a4bdb7e5574e1f2a7c072e7636ce1ce5bb6ca7e7022854cfae89dc2daf&",""
"941517785077522483","complicatia","2026-01-14T12:34:35.2770000+00:00","ini aoaan dah","",""
"529549424301703196","its_yuru","2026-01-14T12:34:55.7290000+00:00","What i like in this game is that they kinda emphasize importance of Middle class. Paling banyak pasti Middle","",""
"529549424301703196","its_yuru","2026-01-14T12:35:16.6050000+00:00","(Which means you know who i tax more:smile: )","",""
"191651271789379586","istirahato","2026-01-14T12:36:35.0230000+00:00","From what I build so far. This city road planning is bad, it will make some problems as the game progress. I assume it will make congestion worse since it doesn't have a clear structure of roads, although the people have the best public transportation they ever had.","",""
"191651271789379586","istirahato","2026-01-14T12:37:19.7160000+00:00","Interesting. I would like to learn about tax mechanics later","",""
"529549424301703196","its_yuru","2026-01-14T12:37:45.4650000+00:00","Ngotak ngatik nya tergantung populasi sih","",""
"191651271789379586","istirahato","2026-01-14T12:38:02.2980000+00:00","One particular game forum and containtment I guess?","",""
"529549424301703196","its_yuru","2026-01-14T12:38:17.7350000+00:00","Lama-lama nanti dari low class residents lu pindah ke middle class residents

Spending di liat. 
Kalo gak salah ada yang bilang jangan lebih 9%","",""
"941517785077522483","complicatia","2026-01-14T12:38:28.3270000+00:00","just searched it up and it’s interesting!!","",""
"891545423238537236","murzzbow","2026-01-14T12:39:13.4570000+00:00","game kayak cities: skyline and (in a way) the sims....?","",""
"891545423238537236","murzzbow","2026-01-14T12:39:49.2680000+00:00","lebih ke cities: skylines sih dari first impression main tapi mekanikal gamenya tidak seriweuh skyline","",""
"191651271789379586","istirahato","2026-01-14T12:40:19.7260000+00:00","~~Cities skylines harus ngurusin berak dan macet, disini ga ada berak problems~~","",""
"191651271789379586","istirahato","2026-01-14T12:41:15.8870000+00:00","Biasanya low class residents kerjaannya either farming atau basic industries ya?","",""
"338232894126555137","trufflecreampasta","2026-01-14T12:41:35.0810000+00:00","infokan cara bermain seperti bahlil","",""
"191651271789379586","istirahato","2026-01-14T12:43:13.7330000+00:00","Coba aja mode sandboxnya for starters","",""
"366150574753710082","sukokin","2026-01-14T13:21:48.6770000+00:00","Forum menarik","",""
"688330999725293758","noxsiduss","2026-01-14T13:34:08.0920000+00:00","WOII","",""
"688330999725293758","noxsiduss","2026-01-14T13:34:15.5330000+00:00","aku join","",""
"688330999725293758","noxsiduss","2026-01-14T13:35:12.9000000+00:00","saatnya menaikan pajak","",""
"688330999725293758","noxsiduss","2026-01-14T13:35:20.2980000+00:00","mengoplos minyak","",""
"688330999725293758","noxsiduss","2026-01-14T13:47:59.3800000+00:00","main normal mode :smile:","https://cdn.discordapp.com/attachments/1460972148985299008/1460993855553016066/IMG_4387.png?ex=69966bcf&is=69951a4f&hm=752a1061fbcb23cc7d6e95521ab82ed92e8822ded34ab342c92268eb50ba8ac5&,https://cdn.discordapp.com/attachments/1460972148985299008/1460993855913590817/IMG_4388.png?ex=69966bcf&is=69951a4f&hm=d19c081b0f5f38ab229e296e998d14654ccba2453d348ebcda118619a5968a69&,https://cdn.discordapp.com/attachments/1460972148985299008/1460993856404328725/IMG_4389.png?ex=69966bcf&is=69951a4f&hm=1a3dbd955395e0e0313a3a0597c584868d47c102e82f8205aa02526ee767a107&",""
"191651271789379586","istirahato","2026-01-14T14:17:36.2910000+00:00","Imagine considering this game as a threat","https://cdn.discordapp.com/attachments/1460972148985299008/1461001309313569002/FB_IMG_1768400013343.jpg?ex=699672c0&is=69952140&hm=86d26b985bb04c381ffe4877fe7a9ab21c40da378a06d5b0eb65962a5f0a8452&",""
"688330999725293758","noxsiduss","2026-01-14T14:20:04.3140000+00:00","the gov when they lie","",""
"891545423238537236","murzzbow","2026-01-14T14:20:37.1360000+00:00","","https://cdn.discordapp.com/attachments/1460972148985299008/1461002067735744696/20260114_190544.jpg?ex=69967375&is=699521f5&hm=167d6d6b2fafcfbc7506fba43b57969f236f3167f298e2c97215f3be2d0b08d4&",""
"891545423238537236","murzzbow","2026-01-14T14:21:02.2420000+00:00","also itu buzzernya baik banget promosi drakor sembari ngebuzzer","",""
"790860761291423754","beethozheng","2026-01-14T14:56:43.9060000+00:00","Imagine if Pejabat actually got their ideas from Theotown","",""
"529549424301703196","its_yuru","2026-01-14T15:47:42.7500000+00:00","Betul","",""
"529549424301703196","its_yuru","2026-01-14T15:47:43.5080000+00:00","Biasanya T1","",""
"529549424301703196","its_yuru","2026-01-14T15:52:24.4400000+00:00","My Sandbox world ( Normal world masih yang tutorial, males maenin)","https://cdn.discordapp.com/attachments/1460972148985299008/1461025166422446090/Arudim_26-01-14_22.50.56.png?ex=699688f8&is=69953778&hm=e8698ecc05ae48ff8a8c3ce9df4d7725e496862a981cec85706c8a5b61a65f45&",""
"688330999725293758","noxsiduss","2026-01-14T16:28:27.7090000+00:00","itu tiap residence pake 4x4?","",""
"688330999725293758","noxsiduss","2026-01-14T16:28:56.0010000+00:00","also whats a good strategic place for schools","",""
"688330999725293758","noxsiduss","2026-01-14T16:29:20.4820000+00:00","krn gw taro sekolah tier 1 lgsg melonjak","",""
"529549424301703196","its_yuru","2026-01-14T16:31:04.0620000+00:00","Biar ketata aja sih","",""
"529549424301703196","its_yuru","2026-01-14T16:31:09.2320000+00:00","Gak inherently 4x4","",""
"529549424301703196","its_yuru","2026-01-14T16:31:16.1300000+00:00","Awalnya 6xsekian lah","",""
"529549424301703196","its_yuru","2026-01-14T16:31:28.7660000+00:00","Tapi residence nya gw gak manual, dari awal lagi","",""
"529549424301703196","its_yuru","2026-01-14T16:31:32.5910000+00:00","Low-mid-high","",""
"529549424301703196","its_yuru","2026-01-14T16:31:45.9750000+00:00","Schools usually asal taro aja sih","",""
"529549424301703196","its_yuru","2026-01-14T16:31:59.1780000+00:00","Yang salah paling Opera ama museum harusnya in the middle","",""
"529549424301703196","its_yuru","2026-01-14T16:32:38.5710000+00:00","T1 school emang mahal di mode yang biasa","",""
"529549424301703196","its_yuru","2026-01-14T16:32:42.4900000+00:00","Ini sandbox sih","",""
"688330999725293758","noxsiduss","2026-01-14T16:34:58.0390000+00:00","oh wait","",""
"688330999725293758","noxsiduss","2026-01-14T16:35:06.1310000+00:00","tier 1 itu yg kaya ya?","",""
"688330999725293758","noxsiduss","2026-01-14T16:35:18.0830000+00:00","mksd gw yg low","",""
"688330999725293758","noxsiduss","2026-01-14T16:35:32.7360000+00:00","kl residence dikasih sekolah otomatis kan naik ya ke middle","",""
"688330999725293758","noxsiduss","2026-01-14T16:35:51.0330000+00:00","nah itu low nya naik","",""
"191651271789379586","istirahato","2026-01-14T16:46:07.1460000+00:00","Attracts pendatang","",""
"688330999725293758","noxsiduss","2026-01-14T16:46:49.4440000+00:00","tp berarti ga mungkin low nya ga ada ya?","",""
"191651271789379586","istirahato","2026-01-14T16:47:30.1560000+00:00","Bisa, ada user di fb share penduduknya rich semua :pepelmf:","",""
"529549424301703196","its_yuru","2026-01-14T16:52:52.9560000+00:00","T1 emang yang loww","",""
"529549424301703196","its_yuru","2026-01-14T16:52:53.7630000+00:00","Wkwk","",""
"529549424301703196","its_yuru","2026-01-14T16:53:01.5190000+00:00","TTT / T3 baru","",""
"529549424301703196","its_yuru","2026-01-14T16:53:26.1360000+00:00","Tapi ini lumayan lama lah","",""
"529549424301703196","its_yuru","2026-01-14T16:54:18.6920000+00:00","PLTN
Pejabat
Lu
T[censored]
Njir","",""
"366150574753710082","sukokin","2026-01-14T17:28:01.0510000+00:00","Ngurus macet gimana","",""
"688330999725293758","noxsiduss","2026-01-14T17:43:03.6600000+00:00","gw sih make 1 way","",""
"688330999725293758","noxsiduss","2026-01-14T17:43:56.2290000+00:00","outer make 1 way, inner jalan biasa","https://cdn.discordapp.com/attachments/1460972148985299008/1461053234096508978/IMG_4392.png?ex=6995fa5c&is=6994a8dc&hm=70115f4bc810b9d40e87788535226a9c5b91c8915852835a7215623fe5f97154&",""
"366150574753710082","sukokin","2026-01-14T18:24:50.7990000+00:00","Damn rapi banget","",""
"366150574753710082","sukokin","2026-01-14T18:25:06.0230000+00:00","Meanwhile mine","https://cdn.discordapp.com/attachments/1460972148985299008/1461063593603895514/Screenshot_2026-01-15-01-22-12-943_info.flowersoft.theotown.theotown.jpg?ex=69960401&is=6994b281&hm=7f3d0ab658825cf8a057c2315abbf7d48f103749e12037328790a4520afeadef&",""
"529549424301703196","its_yuru","2026-01-15T00:19:20.5420000+00:00","Kalo. Mau dicorongin ke dalam jalan 1 way nya","",""
"529549424301703196","its_yuru","2026-01-15T00:19:34.6170000+00:00","Jalan biasa biar jadi semacam bloc system","",""
"688330999725293758","noxsiduss","2026-01-15T00:27:24.4800000+00:00","iyah","",""
"715181776015720469","kikkou_t","2026-01-15T04:03:31.6440000+00:00","Makan penyimpanan berapa kah","",""
"715181776015720469","kikkou_t","2026-01-15T04:03:37.1420000+00:00","Penasaran","",""
"668635528605859840","baygon420","2026-01-15T04:27:42.2280000+00:00","dikit ngab","",""
"668635528605859840","baygon420","2026-01-15T04:27:49.1330000+00:00","gaada 100mb","",""
"715181776015720469","kikkou_t","2026-01-15T04:27:59.2130000+00:00","Wah","",""
"715181776015720469","kikkou_t","2026-01-15T04:28:03.8450000+00:00","Otw pasang","",""
"191651271789379586","istirahato","2026-01-15T13:19:38.7560000+00:00","https://vxtwitter.com/i/status/2011408458567111126","",""
"191651271789379586","istirahato","2026-01-15T13:27:34.4790000+00:00","Serba serbi PLTN","https://cdn.discordapp.com/attachments/1460972148985299008/1461351106629075137/Screenshot_2026-01-15-14-27-11-086_com.facebook.katana-edit.jpg?ex=69966706&is=69951586&hm=d21c38eb831831a6b9a2e17503dbb32f9ad28c2866c3a46943db3a0a4b9b9fcb&",""
"191651271789379586","istirahato","2026-01-15T13:28:35.2250000+00:00","","https://cdn.discordapp.com/attachments/1460972148985299008/1461351361424654501/FB_IMG_1768483699343.jpg?ex=69966743&is=699515c3&hm=8099128cb56065608d0f1b9ecf8bda0cd4ecdc1a0a00423f1f6d48b613556382&",""
"191651271789379586","istirahato","2026-01-16T13:56:09.7820000+00:00","https://fixupx.com/hourly_absurd_3/status/2011435819375173859?s=20","",""
"191651271789379586","istirahato","2026-01-16T13:56:47.7310000+00:00","https://fixupx.com/ExelIntheHouse/status/2011746615124771030?s=20","",""
"1092629690788884511","percyvalll_","2026-01-16T14:09:18.8670000+00:00","info plugin yang berguna dong","",""
"458504213203255324",".magurotuna","2026-01-16T16:17:00.7480000+00:00","gedung dpr biar bisa di meteor","",""
"529549424301703196","its_yuru","2026-01-16T16:28:30.1120000+00:00","Military tent","",""
"790860761291423754","beethozheng","2026-01-17T07:50:05.8470000+00:00","White House biar bisa dimeteor","",""
"232393994955390976","rejicio_","2026-01-17T09:18:43.0490000+00:00","Air Purifier","",""
"232393994955390976","rejicio_","2026-01-17T09:18:57.9390000+00:00","Agak cheat codes, tapi kepake buat daerah Industrial","",""
"529549424301703196","its_yuru","2026-01-17T09:31:15.1830000+00:00","Tembok DSA keknya cukup","",""
"232393994955390976","rejicio_","2026-01-17T09:34:16.8700000+00:00","Iya sih wkwkwk","",""
"232393994955390976","rejicio_","2026-01-17T09:34:20.7760000+00:00","Gue males nembok aja wkwkwk","",""
"191651271789379586","istirahato","2026-01-17T09:37:08.6230000+00:00","Recycle center?","",""
"338232894126555137","trufflecreampasta","2026-01-17T09:53:58.2520000+00:00","gw malah gusur yang komplen polusi wkwkwkwk","",""
"338232894126555137","trufflecreampasta","2026-01-17T09:54:03.6670000+00:00","trus jadiin taman","",""
"790860761291423754","beethozheng","2026-01-17T10:01:56.1170000+00:00","https://tenor.com/view/megumin-gif-22471891","",""
"338232894126555137","trufflecreampasta","2026-01-17T10:03:53.9980000+00:00","https://tenor.com/view/megumin-gif-22471891","",""
"790860761291423754","beethozheng","2026-01-17T10:04:44.6640000+00:00","Oiya saya hitam","",""
"891545423238537236","murzzbow","2026-01-17T10:05:32.0190000+00:00","","https://cdn.discordapp.com/attachments/1460972148985299008/1462025037136662674/FB_IMG_1768644288039.jpg?ex=699637ab&is=6994e62b&hm=605bde5717da5a353837744c6d05233ed3a0847375d23906f63d02b89abfe15a&",""
"891545423238537236","murzzbow","2026-01-17T10:05:45.7890000+00:00","info cheat codes lur","",""
"891545423238537236","murzzbow","2026-01-17T10:06:21.1920000+00:00","*sebenarnya kalo join forum theotown di facebook udah ada semua sih, sampe plugins macem macem disediakan sepuh disana*","",""
"232393994955390976","rejicio_","2026-01-17T10:08:46.5620000+00:00","Itu rek, air purifier","",""
"529549424301703196","its_yuru","2026-01-17T11:05:29.4160000+00:00","Bukankah ini my","",""
"338232894126555137","trufflecreampasta","2026-01-17T15:46:21.4050000+00:00","https://x.com/KucengTerbanggg/status/2012468747190075650","",""
"688330999725293758","noxsiduss","2026-01-18T04:05:50.6400000+00:00","ett pln lg sibuk nih","https://cdn.discordapp.com/attachments/1460972148985299008/1462296905781477428/IMG_4414.png?ex=69968c1e&is=69953a9e&hm=3ac787ec6100acc6fc83bf889e27df658e4ae767fa20c55f6ea344cf620232f8&",""
