AuthorID,Author,Date,Content,Attachments,Reactions
"731408010232070165","darkzet","2025-04-13T13:23:19.5170000+00:00","i've been thinking about maybe joining a political party once i’m legally allowed to. 
does anyone have any recommendations? 

you see, im a politic enthusiast, even though i’m still learning about how the whole system works.

 if you have any insights or just wanna share your thoughts, i’d love to hear them. 🙏

side note: both of my parents was a kader for PKS","",""
"763369578143154260","omnomswag","2025-04-13T13:35:46.4030000+00:00","republican","",""
"929685111300059156","glassesofwater","2025-04-13T13:38:20.4100000+00:00","PSI","",""
"1079558513291964536","huhu_matcha","2025-04-13T13:39:57.8210000+00:00","Create your own political party and pay us all to join","",""
"763369578143154260","omnomswag","2025-04-13T13:48:38.4520000+00:00","tool of the establishment","",""
"763369578143154260","omnomswag","2025-04-13T13:48:47.1230000+00:00","facade of opposition and progressivism","",""
"929685111300059156","glassesofwater","2025-04-13T13:56:18.9330000+00:00","It was a joke","",""
"929685111300059156","glassesofwater","2025-04-13T13:56:35.0030000+00:00","There isn’t a good political party except golkar if you wanna make money","",""
"763369578143154260","omnomswag","2025-04-13T13:58:02.5250000+00:00","golkar is a functional group mate","",""
"595261388579143712","owenzedd","2025-04-13T13:58:15.9070000+00:00","With money for money","",""
"595261388579143712","owenzedd","2025-04-13T13:58:23.5620000+00:00","Sum up everything","",""
