AuthorID,Author,Date,Content,Attachments,Reactions
"412926738298044431","jaxxxxxxyyyy","2025-03-22T13:48:28.9640000+00:00","War wagons, are basically modified wagons or carts that are made to armed or armored transport, drawn or pulled by animals during medieval era. Originally, war wagons were seen during ancient China with the ancient Chinese formed a circle formation with their wagons or carts in order to counter Xiongnu cavalrymen's attack (Xiongnu are basically ancient Mongolian formed with confederation with other nomads). The Hussites however, perfected the war wagons under one leader named Jan Zizka. The wagon is modified with protective sides with firing slits (where crossbowmen and handgunners can use the holes to fire their projectiles). Meanwhile the wagons were supported by the heavy firepower from cannons, then by infantry, armed with pikes, spears, and various polearms. The main usage of these wagons happened during the Hussite Wars, where the largely peasant army of the Hussite armies used these innovative tactics to fend off against the heavy cavalrymen charge. In the official records:

""When the Hussite army faced a numerically superior opponent, the Bohemians usually formedformed a square of the armed wagons, joined them with iron chains, and defended the resulting fortification against charges of the enemy. Such a camp was easy to establish and practically invulnerable to enemy cavalry."" - *Stephen Turnbull. Random House The Hussite Wars (1419–36). Osprey Publishing.*

The innovation of wagons are so effective, that the Germans, Danish, Hungarians, Polish-Lithuanian, Cossacks, and even the Russians created their own variations of the weapon. Throughout the 15th to 16th century, war wagons had been extensively, only to be defeated by cannons and well-trained musketeers.","https://cdn.discordapp.com/attachments/1353002396791341128/1353002397106176070/1200px-josef_mathauser_-_bitva_u_lipan_roku_1434.png?ex=69966bed&is=69951a6d&hm=161b77408461bbbb5922db3e39c3e456eb13e63f619fc97a13dcfec19d9c91e3&",""
"412926738298044431","jaxxxxxxyyyy","2025-03-22T13:50:42.8500000+00:00","https://en.wikipedia.org/wiki/Battle_of_Sudom%C4%9B%C5%99

https://en.wikipedia.org/wiki/Battle_of_V%C3%ADtkov_Hill

https://en.wikipedia.org/wiki/Battle_of_N%C4%9Bmeck%C3%BD_Brod


Notable Hussites' Battles With War Wagons","",""
"454282019308961794","boibinabiboi","2025-03-22T14:07:05.3120000+00:00","Who tag","",""
"321253105398448129","tavvymorningson","2025-03-22T14:07:21.7070000+00:00","this is will be interesting 🥰","",""
"736550209068335135",".ayab","2025-03-22T14:07:31.0710000+00:00","Ah yes the reason why chezchia is a mostly atheists country","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-22T14:07:32.9480000+00:00","(it was me, but somehow the bot counted it as spam, sadge)","",""
"736550209068335135",".ayab","2025-03-22T14:07:34.2600000+00:00","War wagon","",""
"1341716145497178112","kiyanusagi","2025-03-22T14:07:46.5820000+00:00","","https://cdn.discordapp.com/attachments/1353002396791341128/1353007251996282900/IMG_2495.jpg?ex=69967072&is=69951ef2&hm=29416dd06790e7554839cbbbc428baeea38f1b6d338773866b388fe3c2282207&",""
"444493587153944577","4c413","2025-03-22T14:07:54.1830000+00:00","LMAO WHATS THIS","",""
"444493587153944577","4c413","2025-03-22T14:08:39.4250000+00:00","damn<\3","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-22T14:12:42.5130000+00:00","Equivalent of War Wagons In Modern Times (Possible Crafting & Modification):
- Motor gerobak (modified)
- Hand pulled wagons or carts (modified)
- Horse wagons or carts (modified)

Tactics:
- Manned up the wagons, upgrade it with sturdy materials (metal is preferred)
- Allow the men on the wagons armed with projectiles, polearms, and long reach weapons)
- Chained the wagons together with iron chains while forming the square or circle formation
- Defend the wagons using any means necessary until reinforcements attack from the flanks

Advantages:
- It can resist riot personnel, even heavily armored ones
- It can resist water cannons (depending on its power along with the sturdy materials the wagons were built with, also need shields to protect from the cannons)
- Allowing protesters to fire projectiles back in safe cover
- Protective sides of the wagon allow projectiles from personnel to go null
- It can be a mobile fortifications since it can be moved everywhere
- It can resist motorcycles (depending on the speed)

Disadvantage:
- It can't resist armored cars, tanks or heavy apc (depending on how much you guys can stacked the wagons, it can also caused these vehicles to be stuck too)
- It can't resist gas weapons (because it is gas obviously)
- It only good enough to be in flat terrains or high ground ones which requires a lot of spaces
- Without reinforcements, it can make the fort into a trap for the defenders where they got surrounded by the riot personnel with no way out.
- Artillery can still do huge amount of damages","","💯 (1)"
"412926738298044431","jaxxxxxxyyyy","2025-03-22T14:12:51.4480000+00:00","@Tavvy Morningson","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-22T14:13:23.3630000+00:00","basically me referencing medieval tactic to justify the usage of wagons to resist riot personnel during protests","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-22T14:14:04.7370000+00:00","nah, more like the reason why the Hussite Church still exist today in Czech","",""
"753466051869802556","island_doge","2025-03-22T14:14:07.3710000+00:00","jir","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-22T14:14:11.3670000+00:00","they were kinda based tho","",""
"753466051869802556","island_doge","2025-03-22T14:14:46.0790000+00:00","I love the hussite wagons but they got outdated when the Catholic league started to use cannons","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-22T14:14:50.4470000+00:00","make the walls of the cart taller, well armed with metals, then you can manned 4 to 5 people to act as defenders during protest, throwing projectiles and such","",""
