AuthorID,Author,Date,Content,Attachments,Reactions
"929685111300059156","glassesofwater","2025-05-03T12:55:33.6160000+00:00","We are so back, not hard left not hard right but the centre left is so back, we demolished the conservatives in canada and we just demolished Peter Dutton in Australia. This shows that people want maybe more fiscally responsible leadership but not backing down in protecting minorities and standing up for common sense welfare like healthcare , ndis, free tafe, free uni etc. 

I believe Albo, Keir Starmer, Macron, and Mark Carney will rival trump, and his hegemonic power and let’s not forget the EU here with Germany. 

Big W after W for those who are for common sense centre left politics and don’t like trump. 

Thanks for my yap.","https://cdn.discordapp.com/attachments/1368209368771985529/1368209369048813618/IMG_0935.jpg?ex=69965f85&is=69950e05&hm=a8fafe6f1d5d6b33c03a42648d1adbf123024c6f5daa257aad55c82aa35e2476&,https://cdn.discordapp.com/attachments/1368209368771985529/1368209369598136511/IMG_0934.png?ex=69965f85&is=69950e05&hm=4c3999831bb10015c365200731d1358b434a12f98fb6c004c6094a6aa54e829a&",""
"529549424301703196","its_yuru","2025-05-03T12:56:43.6630000+00:00","GLORY TO THE LABOUR!","",""
"929685111300059156","glassesofwater","2025-05-03T13:07:02.8800000+00:00","I am currently reveling in the victory","",""
"929685111300059156","glassesofwater","2025-05-04T08:20:07.1250000+00:00","","https://cdn.discordapp.com/attachments/1368209368771985529/1368502439594168400/IMG_0936.png?ex=69961ef7&is=6994cd77&hm=0e627c098c172e53b59a7b82d95fc85c6721bb3dfb0a5e1258ed63c7447aaae4&",""
"843005270200156160","kaviarormonroe","2025-05-04T08:53:10.8420000+00:00","Centre-left","",""
"843005270200156160","kaviarormonroe","2025-05-04T08:53:12.4310000+00:00","oxymoronic","",""
"763369578143154260","omnomswag","2025-05-04T13:51:17.2480000+00:00","a thousand years to labor","",""
"529549424301703196","its_yuru","2025-05-04T14:09:50.7220000+00:00","Thousand Year ArbeitReich","",""
"929685111300059156","glassesofwater","2025-05-05T08:36:10.3600000+00:00","a thousand years to albo","",""
"929685111300059156","glassesofwater","2025-05-05T08:36:16.9120000+00:00","glory to the albanese government","",""
"929685111300059156","glassesofwater","2025-05-05T08:36:33.1670000+00:00","https://tenor.com/view/hawkey-bob-hawke-auspol-gif-14143948","",""
"929685111300059156","glassesofwater","2025-05-05T08:36:50.2000000+00:00","bring back bob hawke from the dead","",""
