AuthorID,Author,Date,Content,Attachments,Reactions
"1330390051351433288","shibol","2025-03-25T05:28:22.4530000+00:00","Thoughts on how Indonesia would look like politically, economically, and socially","",""
"235101362956795904","mazeltof404","2025-03-25T05:29:27.6050000+00:00","Vietnam 2.0 would happen under Nixon","",""
"235101362956795904","mazeltof404","2025-03-25T05:29:30.5900000+00:00","💀","",""
"763369578143154260","omnomswag","2025-03-25T05:29:54.6540000+00:00","would be hard to assess since the communists were much more favored during sukarnos regime than any post him","",""
"736550209068335135",".ayab","2025-03-25T05:31:14.7290000+00:00","How is that even possible?","",""
"736550209068335135",".ayab","2025-03-25T05:31:32.5370000+00:00","Post Soekarno era is Soeharto times man","",""
"1330390051351433288","shibol","2025-03-25T05:31:46.8610000+00:00","Would PKI be the largest supported partai? Would industrialism boom? Would Indonesia not be that much affected with the financial crisis dollar?","",""
"1330390051351433288","shibol","2025-03-25T05:32:20.3650000+00:00","if Soeharto didnt declare martial law and crowned himself president","",""
"763369578143154260","omnomswag","2025-03-25T05:32:24.5260000+00:00","the PKI were already the largest party","",""
"763369578143154260","omnomswag","2025-03-25T05:32:41.0840000+00:00","if you exclude foreign funding towards the centrist masyumi","",""
"763369578143154260","omnomswag","2025-03-25T05:32:44.7090000+00:00","and the nasional party","",""
"763369578143154260","omnomswag","2025-03-25T05:32:51.6800000+00:00","this is a big if","",""
"736550209068335135",".ayab","2025-03-25T05:32:57.2480000+00:00","They won't hold power for long","",""
"736550209068335135",".ayab","2025-03-25T05:33:12.6300000+00:00","The Sumatran will Rebel","",""
"736550209068335135",".ayab","2025-03-25T05:33:18.7400000+00:00","And Sulawesi's","",""
"763369578143154260","omnomswag","2025-03-25T05:33:23.8060000+00:00","i would argue industrialization would fare better under socialist rule than suhartos neoliberal one","",""
"763369578143154260","omnomswag","2025-03-25T05:33:51.3800000+00:00","during sukarnos regimes most of the basic major industries in the country were already nationalized so it wouldn't be that much of a change if the communist took over post him","",""
"736550209068335135",".ayab","2025-03-25T05:33:57.8510000+00:00","Instead of ruling Indonesia they'll just rule java where most of their suport base is","",""
"235101362956795904","mazeltof404","2025-03-25T05:34:12.3980000+00:00","Econ boom engga juga. You can expect model BUMN kita mirip2 jdi Soviet, rakyat dikasih “voucher privatization” so they can be a shareholder in SoEs (e.g., see Gazprom Russia)","",""
"763369578143154260","omnomswag","2025-03-25T05:34:16.7560000+00:00","what really set us back economically was suhartos horrible neoliberal privatization plans","",""
"763369578143154260","omnomswag","2025-03-25T05:37:52.5600000+00:00","sumatera entirely? no, but aceh yeah. during the 1965-1966 genocide muslim scholars from aceh were among the first to massacre their local communist populations some first hand experiences from travelers and locals from the area even mentions of small river streams being clogged with dead bodies. what you're underestimating is just how popular the PKI were in the rural side of sumatera","",""
"763369578143154260","omnomswag","2025-03-25T05:38:03.1430000+00:00","https://en.wikipedia.org/wiki/Communism_in_Sumatra#:~:text=Communism%20in%20Sumatra%20has%20historically,was%20particular%20active%20in%20communism.","",""
"595261388579143712","owenzedd","2025-03-25T05:41:44.8810000+00:00","⛏️","",""
"736550209068335135",".ayab","2025-03-25T05:45:43.3030000+00:00","I really hope there's no BIN agent in this server","",""
"235101362956795904","mazeltof404","2025-03-25T05:46:35.8730000+00:00","Kita smua sudah masuk blacklist bibit2 subversif 💀","",""
"763369578143154260","omnomswag","2025-03-25T05:46:58.3720000+00:00","https://tenor.com/view/grace-skins-gif-13430816","",""
"763369578143154260","omnomswag","2025-03-25T05:47:16.1740000+00:00","hello indonesian yes i love communism","",""
"736550209068335135",".ayab","2025-03-25T05:48:22.7570000+00:00","Untuk para BIN saya adalah orang democratic sosialist bukan komunist parah murni","",""
"736550209068335135",".ayab","2025-03-25T05:48:57.3040000+00:00","Kalau mau nangkap orang tangkap aja @constant  sama @yukes!!","",""
"763369578143154260","omnomswag","2025-03-25T05:48:57.4630000+00:00","https://tenor.com/view/bernie-sanders-boxing-fail-gif-14879532","",""
"763369578143154260","omnomswag","2025-03-25T05:49:09.1660000+00:00","LEFTCOM??","",""
"763369578143154260","omnomswag","2025-03-25T05:49:10.6200000+00:00","LMAOOO","",""
"235101362956795904","mazeltof404","2025-03-25T05:49:23.5010000+00:00","Oh ini ya yg suka nyanyi Genjer2 dan commie","",""
"736550209068335135",".ayab","2025-03-25T05:49:27.0220000+00:00","I love that guy","",""
"235101362956795904","mazeltof404","2025-03-25T05:49:37.9560000+00:00","“LUBANG BUAYAKAN”","",""
"763369578143154260","omnomswag","2025-03-25T05:49:43.3980000+00:00","the guy that supported bombing yemen and yugoslavia","",""
"736550209068335135",".ayab","2025-03-25T05:50:45.5220000+00:00","Serbia deserved to be bomb","",""
"763369578143154260","omnomswag","2025-03-25T05:51:02.0190000+00:00","i have serbian friends","",""
"763369578143154260","omnomswag","2025-03-25T05:51:04.6150000+00:00","they are so nice","",""
"736550209068335135",".ayab","2025-03-25T05:51:18.8200000+00:00","https://youtu.be/927i2HAgxms?si=m1rhyaZTy2rTUnXW","",""
"595261388579143712","owenzedd","2025-03-25T05:51:58.7450000+00:00","I know a Serbian and he said he wanted all Albanian to die...","",""
"736550209068335135",".ayab","2025-03-25T05:52:07.3310000+00:00","Serbia at that time is a a nation is full of war crimes","",""
"763369578143154260","omnomswag","2025-03-25T05:52:11.3570000+00:00","Lol is this from the same time when he had that speech about how apartheid south africa is bad but hes pro-israel","",""
"736550209068335135",".ayab","2025-03-25T05:52:18.2400000+00:00","This is one the few wars America is on the right side of history","",""
"235101362956795904","mazeltof404","2025-03-25T05:52:24.3860000+00:00","Didnt one of Indo agent bangun network supply senjata during the Yugoslavia conflict?","",""
"763369578143154260","omnomswag","2025-03-25T05:52:31.0110000+00:00","yes that was after the dissolutionment of the yugoslav socialist union","",""
"736550209068335135",".ayab","2025-03-25T05:53:09.0980000+00:00","I am from Bosnia thank you America🎶🎶🎶🗣️🗣️","",""
"763369578143154260","omnomswag","2025-03-25T05:53:28.4610000+00:00","i dont know but i think indonesian communists studied in the eastern bloc alot especially in tirana albania i read there were a sizeable number of PKI members there during the genocide so they were spared and basically acted as the last remnant of the pki","",""
"763369578143154260","omnomswag","2025-03-25T05:53:35.0700000+00:00","Thats kosovo","",""
"235101362956795904","mazeltof404","2025-03-25T05:54:08.1550000+00:00","Let me try to find the article. I think it was authored by Neo Historia","",""
"736550209068335135",".ayab","2025-03-25T05:54:20.8940000+00:00","Eh samehttps://youtu.be/0a5BJxrarL0?si=_wHUC8wCfM8JEP23","",""
"763369578143154260","omnomswag","2025-03-25T05:54:35.6600000+00:00","its on wikipedia too i think","",""
"736550209068335135",".ayab","2025-03-25T05:54:42.0600000+00:00","Kosovo Bosnia no diff","",""
"763369578143154260","omnomswag","2025-03-25T05:54:52.9540000+00:00","bosnians are muslim slavs","",""
