AuthorID,Author,Date,Content,Attachments,Reactions
"800722550329180181","thirteenmiles.","2025-04-25T09:31:39.9060000+00:00","How are you guys feeling today? Like emotionally, or just in general? Wanna share those here or maybe rant about work/school? Or just share whatever’s on your mind? Let’s create a space to share your thoughts","",""
"983629435850854441","ukrainumedved","2025-04-25T09:31:54.7360000+00:00","My brain muscles","",""
"800722550329180181","thirteenmiles.","2025-04-25T09:32:49.0570000+00:00","Yeah, mine’s muscly too","",""
"983629435850854441","ukrainumedved","2025-04-25T09:32:55.6310000+00:00","ah","",""
"983629435850854441","ukrainumedved","2025-04-25T09:33:00.7900000+00:00","I mean, we all have brain muscles","",""
"983629435850854441","ukrainumedved","2025-04-25T09:33:10.1490000+00:00","If not, then our body is not complete, heh","",""
"983629435850854441","ukrainumedved","2025-04-25T09:33:59.5200000+00:00","Okay anyways","",""
"983629435850854441","ukrainumedved","2025-04-25T09:34:10.0520000+00:00","quit joking.... idk what's on my mind","",""
"800722550329180181","thirteenmiles.","2025-04-25T09:35:03.8550000+00:00","Like you’re numbing or just being at peace?","",""
"983629435850854441","ukrainumedved","2025-04-25T09:37:24.9530000+00:00","what is numbing?","",""
"800722550329180181","thirteenmiles.","2025-04-25T09:40:24.3980000+00:00","It’s mati rasa in indonesian","",""
"428399814238273556","the.og.green","2025-04-25T09:48:26.3580000+00:00","Digrebek tugas","",""
"226662955142348800","tyastro","2025-04-25T11:02:57.8490000+00:00","I feel fantastic but sometimes its feels like the world is trying to kill me creating situations where i feel like i'm in hell or that might just be an undiagnosed bipolar disorder","",""
"731408010232070165","darkzet","2025-04-25T11:36:08.3550000+00:00","this is an intresting forum, ill sure write something here later","",""
"766280136332410920","ekast237707","2025-04-25T11:37:27.2820000+00:00","Maybe my brain has been dead","",""
"766280136332410920","ekast237707","2025-04-25T11:37:49.0870000+00:00","Only my muscle memory is replace it","",""
"766280136332410920","ekast237707","2025-04-25T11:38:27.2410000+00:00","I am grateful today","",""
"766280136332410920","ekast237707","2025-04-25T11:39:29.0080000+00:00","Many food to eat,only soar in my voice","",""
"890070769089015808","tianhikari","2025-04-25T12:19:26.0430000+00:00","Overwhelming Politics news
From every direction
Wheter be Indonesian media to the meme accounts","",""
"890070769089015808","tianhikari","2025-04-25T12:20:04.2710000+00:00","I can tell you this shat fak'd me up since March","",""
"607912857849298949","genthefrog18","2025-04-25T13:27:31.9410000+00:00","everything at the same time but nothing at all","",""
"736550209068335135",".ayab","2025-04-25T13:49:54.2030000+00:00","I think i'm isolating myself from the world and mines problem. Running away as if thaf would help.","",""
"226662955142348800","tyastro","2025-04-25T14:34:56.8870000+00:00","One thing I've realized is just to focus on yourself because you can't really do anything about the world all you can do anything is about yourself if those problems you have are uncontrollable don't internalize it try to be happy with it and accept it as it is","",""
"607912857849298949","genthefrog18","2025-04-25T15:12:07.8780000+00:00","much like a quote from my favorite show
""それだけ""","",""
"529549424301703196","its_yuru","2025-04-25T15:28:08.4870000+00:00","I feel my head got worse idk if its my bad sleep schedule beacuse of procastinate on Tugas, or me hitting my own head.
also loosing interest on things and felt pressured by Ex.
60% of it is my fault i get it , but the loosing interest part.
like i lazy to even touch my favourite game , not even just to do Tugas.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-25T17:46:14.0070000+00:00","Honestly, tired but happy. I never regretted my life decisions so far","",""
"731408010232070165","darkzet","2025-04-25T18:04:55.4240000+00:00","not just today, right now my mind is at peace, nothing troubles my mind a lot so far. 

i hope i did good enough in my school. (grades, contribution, effects, etc. )

how are you feeling? @thirteenmiles.?","",""
"800722550329180181","thirteenmiles.","2025-04-25T22:49:08.5140000+00:00","It’s sounds so cold huh to lost what you love (both ex and fav games) but kudos to you that you still admit your mistakes!","","🙏 (1)"
"800722550329180181","thirteenmiles.","2025-04-25T22:49:33.7990000+00:00","I’m so glad to hear that! I hope everything going well for you broo","",""
"800722550329180181","thirteenmiles.","2025-04-25T22:51:11.7600000+00:00","That’s so great man! Yeah school kinda concern you? Oh and for me…kinda bad actually hahaha lost my job because of an ai and i still haven’t figured out what i should do hahaha, thanks for asking btw","",""
"1193335837916676269","dusman05","2025-04-25T23:31:09.6230000+00:00","Not knowing how my next few months will go, really I have 2 pathways on my future but I wont know for certain until like August/Sept, its been mad bugging me everyday but I’m just riding the wave","",""
"800722550329180181","thirteenmiles.","2025-04-26T01:21:30.7920000+00:00","Those waiting game is the worse hahaha, tho i hope the wave carries you to a such a beautiful and epic place bro!","","❤️ (1)"
"1193335837916676269","dusman05","2025-04-26T04:16:59.6410000+00:00","preach brotha 🙏🏻","",""
"1193335837916676269","dusman05","2025-04-26T04:17:28.2690000+00:00","whichever way it goes, I have a solid plan for both but its just the uncertainty on which one i’ll take that’s killing me","",""
"890070769089015808","tianhikari","2025-04-26T05:01:53.3970000+00:00","@thirteenmiles. You did not answer me💔","",""
"766280136332410920","ekast237707","2025-04-26T05:05:30.5280000+00:00","Sabar sabar, maybe need to process","",""
"800722550329180181","thirteenmiles.","2025-04-26T05:47:21.1230000+00:00","Maap kelewat pakk hahaha","",""
"800722550329180181","thirteenmiles.","2025-04-26T05:48:49.7790000+00:00","Understandable, kinda seems like there’s nothing that we can do because of how overwhelming it is, like how do you deal with that tho? Like avoiding social media or something?","",""
