AuthorID,Author,Date,Content,Attachments,Reactions
"702680854920429569","kurang_tidur99765","2025-03-21T14:12:37.9720000+00:00","if you don't mind, let me hear your thoughts","",""
"425585007906783232","gksubrata","2025-03-21T14:14:05.7000000+00:00","@deleted-role yang bisa bantu or maybe @Academia ?","",""
"776844764770861127","snuckel4","2025-03-21T14:14:21.2690000+00:00",":debating:","",""
"687561528081383429","bonn12345","2025-03-21T14:15:50.5300000+00:00","choose whatever resonates with ur passions?","",""
"687561528081383429","bonn12345","2025-03-21T14:16:42.8910000+00:00","i kinda already knew tht i wanted to major in somewhere around the social sciences/humanities, so im studying 4 disciplines at the same time rn haha","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-21T14:17:18.0090000+00:00","Depends on how do you plan with that major? I choose it out of passion and my own goals. What is your goal, passion and objective? How do you plan to utilize it even further? How do you plan to use it for your own benefits? How do you want your major be useful for your career? What is your skills and weaknesses? How do you cover them in your own major? Etc etc etc","","⬆️ (3)"
"412926738298044431","jaxxxxxxyyyy","2025-03-21T14:18:23.6240000+00:00","And one thing to add: how do you survive with your own major inside or outside of it? During studying and during work application?","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-21T14:19:01.0600000+00:00","You need a master plan if you want to choose it. And the sad thing is, people weren't taught to think this deeply","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-21T14:19:11.0030000+00:00","I did, and that is why I see college as vacation and ooportunities","",""
"702680854920429569","kurang_tidur99765","2025-03-21T14:19:15.8240000+00:00","hmm thanks for the suggestions well the thing is im fascinated about law and maybe philosophy? but the former is okay i think?? while the latter.. i don't know, what will i do when i get a philosophy degree? maybe wrote a book?","",""
"687561528081383429","bonn12345","2025-03-21T14:21:42.3540000+00:00","im studying philosophy as one of my disciplines, and i honestly dt u can do tht much beyond academia 😭","",""
"687561528081383429","bonn12345","2025-03-21T14:21:49.4070000+00:00","thts the sad reality haha","",""
"687561528081383429","bonn12345","2025-03-21T14:22:27.1970000+00:00","maybe major in law and take some courses in philosophy instead if thts possible?","",""
"702680854920429569","kurang_tidur99765","2025-03-21T14:25:26.6170000+00:00","well, my goal is to have a major that isn't really have a high difficulty, maybe a bit hard is okay and also can provide me with some insights and can get me into some stable jobs,  my skills is maybe i can read fast and thoroughly but numbers is my weakness that's why i always try to avoid that kind of major, while i say that numbers are my weakness, i didn't necessarily mean that i was so bad at it, it's just that i don't really like it, tbh i can always work it out, so even though i prefer a major that is not heavily linked with numbers, i can comply","",""
"702680854920429569","kurang_tidur99765","2025-03-21T14:28:20.8480000+00:00","yeah, i agree, philosophy always excites me but well if only it can also grant me some money","",""
"262856800385105920","pleb_star","2025-03-21T14:34:20.0250000+00:00","dont chose computer science","",""
"747304165696471081","_jonathan3","2025-03-21T14:36:32.8240000+00:00","hi","",""
"891545423238537236","murzzbow","2025-03-21T14:36:48.4170000+00:00","hi","",""
"702680854920429569","kurang_tidur99765","2025-03-21T14:38:12.6030000+00:00","yeah, i also don't have any single little to no experience in using any pc/laptop anything like that","",""
"891545423238537236","murzzbow","2025-03-21T14:38:20.4260000+00:00","data engineer or something something related to busdev if you aren't that keen on numbers","",""
