AuthorID,Author,Date,Content,Attachments,Reactions
"395810691006857219","ataman_erkin","2025-05-01T20:45:44.1160000+00:00","The new mulyono","",""
"766280136332410920","ekast237707","2025-05-01T20:58:13.3180000+00:00","Katanya dia pakai Hati","",""
"766280136332410920","ekast237707","2025-05-01T20:58:41.1280000+00:00","Aku dulu terus terang dukung Ridwan Kamil","",""
"766280136332410920","ekast237707","2025-05-01T20:59:02.0520000+00:00","Yang bersinonim dengan kata inovasi dan teknologi","",""
"766280136332410920","ekast237707","2025-05-01T21:03:37.9420000+00:00","Sebelumnya itu ada Dik Doank ,penyanyi dengan sekolah kandank jurank doank, 
AA Gym. Dengan Darul Tauhid","",""
"766280136332410920","ekast237707","2025-05-01T21:04:06.8960000+00:00","Tapi ketiganya bermasalah dengan hal yang sama yaitu wanita","",""
"766280136332410920","ekast237707","2025-05-01T21:05:21.6680000+00:00","Sebaiknya sii langsung lihat sendiri orang nya daripada ketipu lagi ketipu lagi","",""
"395810691006857219","ataman_erkin","2025-05-01T22:42:00.3510000+00:00","pertama, 

klenik itu berbahaya 

kedua, 

orang nya bayar aktris yang terindikasi mempromosikan judol","",""
"395810691006857219","ataman_erkin","2025-05-01T22:42:09.5750000+00:00","itu sudah redflag","",""
"731408010232070165","darkzet","2025-05-02T03:51:48.6860000+00:00","orang di tiktok sudah buta dan mendewakan kdm lol","",""
"235101362956795904","mazeltof404","2025-05-02T04:22:34.7040000+00:00","Greatest vice of hetero political men: tempik 💀","","wpointing (1)"
"731408010232070165","darkzet","2025-05-02T04:41:42.7640000+00:00","what happened to aa gym?","",""
"800722550329180181","thirteenmiles.","2025-05-02T04:55:07.0730000+00:00","Polygamy, Like Back In The Early 00s","",""
"800722550329180181","thirteenmiles.","2025-05-02T04:57:56.6600000+00:00","I was a kid back then but I remember that he always represent hinself as the more modern and progressive muslim, and that’s the reason why he’s called Aa to make it more casual than pak ustad etc, but then….polygamy","",""
"731408010232070165","darkzet","2025-05-02T05:02:24.2630000+00:00","why is it bad? like its stated in the quran that you can marry 3 woman right?","",""
"800722550329180181","thirteenmiles.","2025-05-02T05:11:37.8130000+00:00","Yeah you’re right it is allowed to have more than 1 wives, but he preach a lot about family values, of how men should be loyal and stay monogamous but then he suddenly marry a second wife without public disclosure","","💀 (1)"
"800722550329180181","thirteenmiles.","2025-05-02T05:11:57.2790000+00:00","So i guess his fans seen him as a hypocrite or something","",""
"884682494581043250","shelbyyn","2025-05-03T15:07:52.3830000+00:00","Only if you’re able to act fair to all the wives, which is smth that humans can’t do","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-04T01:58:05.2530000+00:00","I can't say much other than he is a populist with authoritarian tendency. He has been known to be the man of action which is a good thing, but I better watch him for the long run to see his consistency as a governor.","",""
"731408010232070165","darkzet","2025-05-04T03:41:18.1290000+00:00","","https://cdn.discordapp.com/attachments/1367366036734738472/1368432272780562493/Screenshot_20250504-103316.jpg?ex=6996865e&is=699534de&hm=cbeedae18b6922bee96cedb8f7381db91e37f1ba785c312b9f5e24aa2b041ca4&",""
"731408010232070165","darkzet","2025-05-04T03:41:50.1880000+00:00","kdm are the new mulyono and PEOPLE already drop their guard down 💔","",""
