AuthorID,Author,Date,Content,Attachments,Reactions
"882111176006328440","nerosalt","2025-06-18T10:05:55.8000000+00:00","not the soldiers n politicians the civilians","",""
"529549424301703196","its_yuru","2025-06-18T10:06:55.5710000+00:00","Yes","",""
"529549424301703196","its_yuru","2025-06-18T10:07:11.0380000+00:00","Wasting guns and reputation","",""
"1205583169428922401","f4rtl0rd","2025-06-18T10:07:14.1570000+00:00","Of course","",""
"1205583169428922401","f4rtl0rd","2025-06-18T10:07:31.8710000+00:00","Not all Israeli are zionist","",""
"1205583169428922401","f4rtl0rd","2025-06-18T10:07:46.6910000+00:00","Some Jews are anti-zionist, especially the ones that are not in Israel","",""
"529549424301703196","its_yuru","2025-06-18T10:08:05.2630000+00:00","Like the Bundist","",""
"1205583169428922401","f4rtl0rd","2025-06-18T10:08:26.5940000+00:00","Killing (innocent) people are just bad","",""
"1205583169428922401","f4rtl0rd","2025-06-18T10:08:38.9710000+00:00","Unless they do really bad stuff","",""
"882111176006328440","nerosalt","2025-06-18T10:09:25.2490000+00:00","r u illiterate","",""
"882111176006328440","nerosalt","2025-06-18T10:09:28.1010000+00:00","i said ISRAELIS","",""
"882111176006328440","nerosalt","2025-06-18T10:09:38.7110000+00:00","❤️","",""
"1205583169428922401","f4rtl0rd","2025-06-18T10:09:57.1540000+00:00","Just in case u mean Israeli as Jewish people","",""
"1205583169428922401","f4rtl0rd","2025-06-18T10:10:15.2830000+00:00","Most people confuse the 2, especially lots of Indons","",""
"1326836406865362977","nitewhale","2025-06-19T04:18:36.3900000+00:00","umm achtually if you won't forgive monsters, you're gonna be that perpetrators 🤓☝️","",""
"882111176006328440","nerosalt","2025-06-19T04:35:39.8190000+00:00","@constant MANNSIA ALERT","",""
"395810691006857219","ataman_erkin","2025-06-21T18:48:24.7870000+00:00","their society is fucked up. 

your average israeli are bragging about killing everyone. 

it is bad targeting them. But, they shouldn't complained when they got attacked.","",""
"529549424301703196","its_yuru","2025-06-22T01:19:40.9980000+00:00","Yeah, Shouldve see it coming.","",""
"529549424301703196","its_yuru","2025-06-22T01:19:56.1590000+00:00","Still its disgusting people saying this man","https://cdn.discordapp.com/attachments/1384836521735225434/1386153702280400898/Screenshot_2025-06-20-16-36-30-435_com.twitter.android-edit.jpg?ex=6996653c&is=699513bc&hm=80dcf9a5979ae5a82f85ee0adbd81d7ec793d6d6c390ddfd048b1b902237f27b&",""
"766280136332410920","ekast237707","2025-06-22T01:45:00.2780000+00:00","Please educte me, what is Israelis and Indons?","",""
"529549424301703196","its_yuru","2025-06-22T01:52:01.5180000+00:00","Same thing, Different race and religion","",""
"766280136332410920","ekast237707","2025-06-22T01:56:41.9480000+00:00","Is it just usual name calling or have specific meaning ?","",""
"766280136332410920","ekast237707","2025-06-22T01:57:01.5160000+00:00","Or specific people group?","",""
"529549424301703196","its_yuru","2025-06-22T02:05:25.1010000+00:00","Mostly for calling Nationalities","",""
"766280136332410920","ekast237707","2025-06-22T03:08:50.7110000+00:00","I sense israelis a hatered and indons a innocent one, vibes, you know Indon in Malay first come up for Indonesia domestik and low skill labour,it is bad calling, now become, their say easy calling Indonesia, maybe like bahasa Indonesia to be bahasa, but mostly bad memory, 

like weebo in japan it to call white race who like japanese culture, japanese wannabe, but weebs now become more positive, i prefer otaku more, just to honour the japanese,

l personaly dont like called indons, like calling Americans,be amric maybe?,beside it past word history, with israelis i don't know really?...","",""
"395810691006857219","ataman_erkin","2025-06-23T03:48:37.7550000+00:00","Unfortunately, it is what it is. 

Even your average westerners who is educated enough understand it. Like someone had said, israeli Twitter is like a finding lost chapter of Mein Kampf. 

Hard to feel solidarity too them. Even among your average americans","",""
"1154273658626379776","clautsky","2025-06-23T08:33:52.3510000+00:00","what kind of question is this","",""
"1154273658626379776","clautsky","2025-06-23T08:34:40.5910000+00:00","is it the fault of the propagandist or the propagandized","",""
"529549424301703196","its_yuru","2025-06-23T10:10:04.6610000+00:00","Some people said its good to kill colonizer ( including their Children) while condemn them also killing Children. 

Can people agree in general killing Children is bad?","",""
"766280136332410920","ekast237707","2025-06-23T10:23:19.8970000+00:00","Yes, I am agree, thats killing children is bad... They are innocent","",""
"766280136332410920","ekast237707","2025-06-23T10:23:31.1510000+00:00","Even incel one","",""
"766280136332410920","ekast237707","2025-06-23T10:24:08.6200000+00:00","They can still be mold, who have power is the most have responsibility","",""
"766280136332410920","ekast237707","2025-06-23T10:25:00.0870000+00:00","But if there is nothing, and i, us cant be in the charge of power","",""
"766280136332410920","ekast237707","2025-06-23T10:25:21.5030000+00:00","Then it is useless, our saying is nothing","",""
"882111176006328440","nerosalt","2025-06-23T13:41:36.9820000+00:00","israeli death = good
arab death = bad","",""
"882111176006328440","nerosalt","2025-06-23T13:41:58.5390000+00:00","hence 
israeli children = demon spawn","",""
"529549424301703196","its_yuru","2025-06-23T13:47:46.2710000+00:00","https://tenor.com/view/minecraft-bishop-spawner-spawner-minecraft-spawner-bishop-gif-17028091","",""
"529549424301703196","its_yuru","2025-06-23T13:47:58.0810000+00:00","Why i imagine this💀","",""
"1154273658626379776","clautsky","2025-06-23T13:51:52.7690000+00:00","Killing israeli citizens isnt good","",""
"1154273658626379776","clautsky","2025-06-23T13:51:55.5400000+00:00","but it isnt bad either","",""
"1154273658626379776","clautsky","2025-06-23T13:51:57.0660000+00:00","tk what i mean","",""
"1154273658626379776","clautsky","2025-06-23T13:52:07.6560000+00:00","if we have to bomb the shit out of tel aviv","",""
"1154273658626379776","clautsky","2025-06-23T13:52:15.1540000+00:00","so we can destroy the terrorist zionist entity","",""
"1154273658626379776","clautsky","2025-06-23T13:52:25.0310000+00:00","it would suck","",""
"882111176006328440","nerosalt","2025-06-23T13:52:31.6660000+00:00","ERM","",""
"1154273658626379776","clautsky","2025-06-23T13:52:36.0280000+00:00","to kill citizens intentionally","",""
"529549424301703196","its_yuru","2025-06-23T13:52:48.3180000+00:00","The realistic thing is.. Well we had to negotiate with the Lesser Devil ( libzio)","",""
"1154273658626379776","clautsky","2025-06-23T13:52:52.8490000+00:00","bro theyve been brainwashed by the Israeli state to believe that gaza isnt a genocide","",""
"882111176006328440","nerosalt","2025-06-23T13:52:52.8740000+00:00","WHY ARE YOU SUPPORTING THE LIVING STATUS OF ISRAELI SETTLERS AND COLONIZERS IN COLONIZED LAND??","",""
"529549424301703196","its_yuru","2025-06-23T13:53:03.4350000+00:00","To get rid of the Devil (conzio)","",""
"882111176006328440","nerosalt","2025-06-23T13:53:03.8530000+00:00","WE SHOULD ALL MURDER ISRAELIS","",""
"882111176006328440","nerosalt","2025-06-23T13:53:07.9370000+00:00","ESPECIALLY THE CHILDREN!","",""
"1154273658626379776","clautsky","2025-06-23T13:53:15.6370000+00:00","to think of it","",""
"882111176006328440","nerosalt","2025-06-23T13:53:16.6460000+00:00","ALL HAIL LORD AND SAVIOUR SAKAI!","",""
"1154273658626379776","clautsky","2025-06-23T13:53:19.8590000+00:00","America is also Colonized","",""
"882111176006328440","nerosalt","2025-06-23T13:53:29.1280000+00:00","YES WE SHOULD MURDER ALL WHITE PEOPLE","",""
"529549424301703196","its_yuru","2025-06-23T13:53:29.1710000+00:00","That counts Java people too btw","",""
"882111176006328440","nerosalt","2025-06-23T13:53:31.8790000+00:00","NOW YOU GET IT!","",""
"1154273658626379776","clautsky","2025-06-23T13:53:33.9500000+00:00","the only way we can truly get","",""
"1154273658626379776","clautsky","2025-06-23T13:53:42.4800000+00:00","peace is to have the working class own everything so we live in harmony","",""
"882111176006328440","nerosalt","2025-06-23T13:53:43.7460000+00:00","YES WE SHOULD KILL ALL JAVANESE PEOPLE!","",""
"882111176006328440","nerosalt","2025-06-23T13:53:46.6360000+00:00","NOW YOU GET IT!","",""
"529549424301703196","its_yuru","2025-06-23T13:53:50.1210000+00:00","wait wh-","",""
"882111176006328440","nerosalt","2025-06-23T13:53:52.5260000+00:00","me when right","",""
"882111176006328440","nerosalt","2025-06-23T13:53:58.0010000+00:00","me when clautsky right","",""
"1154273658626379776","clautsky","2025-06-23T13:53:58.0790000+00:00","the problem isnt that they dont like israeli settlers","",""
"882111176006328440","nerosalt","2025-06-23T13:54:03.1060000+00:00","me when not shit take","",""
"1154273658626379776","clautsky","2025-06-23T13:54:05.0260000+00:00","its that they r proposing an ethnostate","",""
"1154273658626379776","clautsky","2025-06-23T13:54:06.4770000+00:00","😭","",""
"882111176006328440","nerosalt","2025-06-23T13:54:13.6300000+00:00","me when the take isnt shit","",""
"1154273658626379776","clautsky","2025-06-23T13:54:13.7250000+00:00","Apartheid actually","",""
"882111176006328440","nerosalt","2025-06-23T13:54:27.7690000+00:00","me when someone has a decent take for once","",""
"529549424301703196","its_yuru","2025-06-23T13:54:29.8920000+00:00","Apperantly somehow both sides have some intention to do it..","",""
"1154273658626379776","clautsky","2025-06-23T13:54:37.5260000+00:00","nope","",""
"882111176006328440","nerosalt","2025-06-23T13:54:39.3030000+00:00","me when someone doesnt think killing israeli children is good","",""
"529549424301703196","its_yuru","2025-06-23T13:55:00.1890000+00:00","I said some, not all.. 
Tho who has been open to it lately is good old Bibi","",""
"1154273658626379776","clautsky","2025-06-23T13:55:30.4220000+00:00","yeah","",""
"1154273658626379776","clautsky","2025-06-23T13:55:33.8850000+00:00","All apartheid is wrong","",""
"1154273658626379776","clautsky","2025-06-23T13:55:38.2190000+00:00","glory to the palestinian state tho","",""
"1154273658626379776","clautsky","2025-06-23T13:55:44.6780000+00:00","Israel is sitting on Colonized land","",""
"529549424301703196","its_yuru","2025-06-23T13:55:45.2110000+00:00","Real","",""
"529549424301703196","its_yuru","2025-06-23T13:55:55.1200000+00:00","Reinstate pre 67 atleast, thats enough","",""
"1154273658626379776","clautsky","2025-06-23T13:56:20.1940000+00:00","no","",""
"1154273658626379776","clautsky","2025-06-23T13:56:24.1090000+00:00","fully palestine","",""
"1154273658626379776","clautsky","2025-06-23T13:56:25.5160000+00:00","no israel","",""
"529549424301703196","its_yuru","2025-06-23T13:56:53.3750000+00:00","Give me one reason why I should agree?","",""
"529549424301703196","its_yuru","2025-06-23T13:57:11.7510000+00:00","Since.. For the past Decade, That idea screams only, reverse discrimination in my head","",""
"1154273658626379776","clautsky","2025-06-23T13:57:50.2310000+00:00","what","",""
"1154273658626379776","clautsky","2025-06-23T13:58:00.0700000+00:00","they have been living together","",""
"1154273658626379776","clautsky","2025-06-23T13:58:03.3900000+00:00","since forever","",""
"1154273658626379776","clautsky","2025-06-23T13:58:22.2280000+00:00","Worker State of Palestine","",""
"882111176006328440","nerosalt","2025-06-23T13:59:29.0570000+00:00","erm","",""
"882111176006328440","nerosalt","2025-06-23T13:59:40.6670000+00:00","marxist lord and saviour sakai says that","",""
"882111176006328440","nerosalt","2025-06-23T13:59:45.7200000+00:00","thats impossible","",""
"882111176006328440","nerosalt","2025-06-23T13:59:50.4970000+00:00","and we need to kill the jews!!!!","",""
"529549424301703196","its_yuru","2025-06-23T14:00:01.0850000+00:00","Since Forever?.. 
Yeah no","",""
"882111176006328440","nerosalt","2025-06-23T14:00:03.1170000+00:00","BOYCOTT MCDONALDS!","",""
"529549424301703196","its_yuru","2025-06-23T14:00:13.8650000+00:00","That area is practically backwater before 19th century","",""
"1154273658626379776","clautsky","2025-06-23T14:00:31.8620000+00:00","what was it like during the","",""
"1154273658626379776","clautsky","2025-06-23T14:00:50.7940000+00:00","the British colonial times","",""
"882111176006328440","nerosalt","2025-06-23T14:00:57.5400000+00:00","yuu is reverse mannsia","",""
"1154273658626379776","clautsky","2025-06-23T14:01:02.2080000+00:00","its the land of","",""
"1154273658626379776","clautsky","2025-06-23T14:01:06.3250000+00:00","all abrahamic religions","",""
"529549424301703196","its_yuru","2025-06-23T14:01:07.3060000+00:00","Three way war","",""
"1154273658626379776","clautsky","2025-06-23T14:01:13.9200000+00:00","actually true","",""
