AuthorID,Author,Date,Content,Attachments,Reactions
"941517785077522483","complicatia","2025-03-24T12:25:47.9390000+00:00","tips / sharing experiences :debating:","",""
"941517785077522483","complicatia","2025-03-24T12:26:01.2620000+00:00","boom shakalaka","",""
"941517785077522483","complicatia","2025-03-24T12:26:41.5970000+00:00","@Labrador (Penyimak Handal) storytelling experience storytime","",""
"736550209068335135",".ayab","2025-03-24T12:26:44.8750000+00:00","Jangan terlalu terpaku dengan script","",""
"736550209068335135",".ayab","2025-03-24T12:26:54.6380000+00:00","Harus punya luang untuk improv","",""
"941517785077522483","complicatia","2025-03-24T12:26:57.2750000+00:00","ive never tried a storytelling comp","",""
"428399814238273556","the.og.green","2025-03-24T12:27:21.1240000+00:00","this, remember your points as improv along that, and try to be persuasive (depending on the topic)","",""
"941517785077522483","complicatia","2025-03-24T12:27:45.4490000+00:00","i feel like one of my flaws during pidato is","",""
"736550209068335135",".ayab","2025-03-24T12:27:46.3310000+00:00","Dramatization will win you points","",""
"941517785077522483","complicatia","2025-03-24T12:27:52.4420000+00:00","di awal intonasinya bagus","",""
"941517785077522483","complicatia","2025-03-24T12:27:58.4890000+00:00","but as the speech goes by","",""
"941517785077522483","complicatia","2025-03-24T12:28:05.8540000+00:00","makin lama makin menurun intonasinya","",""
"941517785077522483","complicatia","2025-03-24T12:28:10.2590000+00:00","and i never realize iy","",""
"736550209068335135",".ayab","2025-03-24T12:28:22.6520000+00:00","Have a core emotion that will make you emotional","",""
"736550209068335135",".ayab","2025-03-24T12:28:38.7980000+00:00","That's the cheat method to maintain intonation","","👆 (1)"
"941517785077522483","complicatia","2025-03-24T12:29:13.8770000+00:00","have u guys ever participated in a comp that's so obviously rigged","",""
"428399814238273556","the.og.green","2025-03-24T12:29:23.9610000+00:00","fortunately, no","","💯 (1)"
"941517785077522483","complicatia","2025-03-24T12:29:38.6470000+00:00","ahh lucky man","",""
"736550209068335135",".ayab","2025-03-24T12:29:50.9080000+00:00","Oh Iya jangan pakainkata terlalu susah","",""
"941517785077522483","complicatia","2025-03-24T12:30:01.0290000+00:00","oooh","",""
"736550209068335135",".ayab","2025-03-24T12:30:24.9660000+00:00","Dalam story telling bukan mulut mu aja yang presentasi takin juga tubuh","",""
"736550209068335135",".ayab","2025-03-24T12:30:34.1680000+00:00","Jadi harus acting sedikit","",""
"428399814238273556","the.og.green","2025-03-24T12:30:38.3810000+00:00","yoi, jangan kaku","",""
"736550209068335135",".ayab","2025-03-24T12:30:50.5940000+00:00","Tangan harus bergerak gerak","",""
