AuthorID,Author,Date,Content,Attachments,Reactions
"882111176006328440","nerosalt","2025-04-03T16:12:43.7740000+00:00","liberation day","","⛏️ (5),⚒️ (8),🗣️ (2)"
"763369578143154260","omnomswag","2025-04-03T16:13:50.2520000+00:00","https://tenor.com/view/danganronpa-dr-dr1-truth-nuke-makoto-naegi-gif-5596276437573353508","",""
"882111176006328440","nerosalt","2025-04-03T16:14:15.8360000+00:00","@Deleted User","",""
"882111176006328440","nerosalt","2025-04-03T16:15:08.3380000+00:00","Tomatoes are red because of the blood of our comrade rosa luxembourg","",""
"763369578143154260","omnomswag","2025-04-03T16:15:57.8210000+00:00","luxemburg","",""
"763369578143154260","omnomswag","2025-04-03T16:16:03.5730000+00:00","Luxembourgs the country","",""
"882111176006328440","nerosalt","2025-04-03T16:16:16.8060000+00:00","mb","",""
"843005270200156160","kaviarormonroe","2025-04-03T16:16:31.0810000+00:00","","https://cdn.discordapp.com/attachments/1357387352082747532/1357388305217359872/image.png?ex=69968e9f&is=69953d1f&hm=638b6c57e72c161ea0f07414852a9295654a7720ddedd57ecbc8518a7f74f9f3&",""
"882111176006328440","nerosalt","2025-04-03T16:16:35.6790000+00:00","@Deleted User","",""
"882111176006328440","nerosalt","2025-04-03T16:16:39.4010000+00:00","@Deleted User","",""
"882111176006328440","nerosalt","2025-04-03T16:16:43.9460000+00:00","HE MOVED HERE YOU SHOULD TOO","",""
"763369578143154260","omnomswag","2025-04-03T16:16:51.5490000+00:00","this isnt funny because i dont get it","",""
"843005270200156160","kaviarormonroe","2025-04-03T16:16:54.0450000+00:00","","https://cdn.discordapp.com/attachments/1357387352082747532/1357388401535357118/image.png?ex=69968eb5&is=69953d35&hm=949e0ee20398eeb72f352ef33682480e6de8155e8a36dcad7d15cc81ea5b07f2&",""
"882111176006328440","nerosalt","2025-04-03T16:17:05.8680000+00:00","@Deleted User","",""
"843005270200156160","kaviarormonroe","2025-04-03T16:17:09.8620000+00:00","Because in japan woman and noisy similar word but stacked on top of each other or something","",""
"456226577798135808","Deleted User","2025-04-03T16:17:11.9880000+00:00","???","",""
"456226577798135808","Deleted User","2025-04-03T16:17:19.1700000+00:00","Vaush lol","",""
"456226577798135808","Deleted User","2025-04-03T16:17:20.0060000+00:00","wtf","",""
"763369578143154260","omnomswag","2025-04-03T16:17:36.2120000+00:00","vaushite 🔥🔥","",""
"763369578143154260","omnomswag","2025-04-03T16:17:39.5930000+00:00","what","",""
"843005270200156160","kaviarormonroe","2025-04-03T16:17:41.1630000+00:00","","https://cdn.discordapp.com/attachments/1357387352082747532/1357388599158505482/image.png?ex=69968ee5&is=69953d65&hm=7b4578acb862d04a471d15977334e5e3601180f5a04539acbcdd74e492a81a2e&",""
"882111176006328440","nerosalt","2025-04-03T16:17:52.2950000+00:00","mods dont ban me i've done my part of containing the trvthnvking","",""
"843005270200156160","kaviarormonroe","2025-04-03T16:17:53.4100000+00:00","","https://cdn.discordapp.com/attachments/1357387352082747532/1357388650379481088/image.png?ex=69968ef1&is=69953d71&hm=40967c3b73b543c151387ef0cb432db1c48bf8c0842016ad61fa3828ab1a201e&",""
"456226577798135808","Deleted User","2025-04-03T16:18:12.5550000+00:00","Yes bro keep memeing","",""
"456226577798135808","Deleted User","2025-04-03T16:18:17.5070000+00:00","keep reading theory and making memes about it","",""
"456226577798135808","Deleted User","2025-04-03T16:18:25.0090000+00:00","Leftcom revolutions : 0","","🤣 (1)"
"843005270200156160","kaviarormonroe","2025-04-03T16:18:28.7950000+00:00","","https://cdn.discordapp.com/attachments/1357387352082747532/1357388798912237619/t1918a.png?ex=69968f14&is=69953d94&hm=6fd92eaddab66691ef195203dc47c11fcbc88f7e14d06affb09db72c607d969e&",""
"843005270200156160","kaviarormonroe","2025-04-03T16:18:45.7230000+00:00",">Look around
>still no international communism
>Marxism Leninism has succeeded btw!","",""
"763369578143154260","omnomswag","2025-04-03T16:18:52.7020000+00:00","so socialism is Christianity?","",""
"882111176006328440","nerosalt","2025-04-03T16:18:57.1820000+00:00","it would be funnier if you became a hoxaist or a fullblown maoist","",""
