AuthorID,Author,Date,Content,Attachments,Reactions
"891545423238537236","murzzbow","2025-05-19T16:37:31.7820000+00:00","drop your hottest take (make it PG and abide the server rules) and your most unpopular opinion about anything, any topics","",""
"891545423238537236","murzzbow","2025-05-19T16:41:02.8590000+00:00","- Persona franchise should stop glorifying m*nors being sexualized especially in their latest installment
- GTA IV is the best installment in all GTA series
- Dynasty Warriors 6 kinda flopped because it didn't follow the historical aspects of the Three Kingdoms period.","",""
"891545423238537236","murzzbow","2025-05-19T16:41:47.7120000+00:00","and this is the game part of my version unpopular opinion","",""
"867421149126197300","chel705","2025-05-19T16:47:21.4370000+00:00","• The concept of countries, nationality & patriotism is so stupid.
• garam dan madu is an alright song
• gameplay is more important than story","",""
"716718122861592606","unknownblue","2025-05-19T16:47:25.0690000+00:00","AW Chicken > KFC > Mcdonald chicken","","🔥 (4)"
"891545423238537236","murzzbow","2025-05-19T16:47:39.4260000+00:00","why am I agreeing with this","",""
"716718122861592606","unknownblue","2025-05-19T16:48:15.3030000+00:00","Timothee chalamet and Zendaya is overated and actually just an average actor","","wpointing (4)"
"647741364825751574","anarchytex","2025-05-19T16:48:36.6290000+00:00","i think timothy ronald is a loser","",""
"647741364825751574","anarchytex","2025-05-19T16:48:49.1350000+00:00","or a poser more like","",""
"647741364825751574","anarchytex","2025-05-19T16:49:01.5940000+00:00","up","",""
"647741364825751574","anarchytex","2025-05-19T16:49:05.4210000+00:00","why are you so based","",""
"891545423238537236","murzzbow","2025-05-19T16:50:06.1730000+00:00","recent Indonesia pop female singers all sound the same","","👍 (3)"
"891545423238537236","murzzbow","2025-05-19T16:50:11.2130000+00:00","🥱","",""
"867421149126197300","chel705","2025-05-19T16:50:57.9640000+00:00","I support death penalty for druglord","",""
"647741364825751574","anarchytex","2025-05-19T16:51:13.5220000+00:00","isnt this a popular one","",""
"867421149126197300","chel705","2025-05-19T16:51:35.0170000+00:00","Not really in the west","",""
"647741364825751574","anarchytex","2025-05-19T16:51:46.3270000+00:00","walah","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-19T16:54:19.9930000+00:00","They are bombs yes","",""
"412926738298044431","jaxxxxxxyyyy","2025-05-19T16:54:35.0880000+00:00","But I would like to add that with some Popeye chickens","",""
"867421149126197300","chel705","2025-05-19T16:57:18.3960000+00:00","Burger bangor chicken>mcspicy chicken>AW>KFC","",""
"891545423238537236","murzzbow","2025-05-19T16:57:32.3670000+00:00","now this is crazy","",""
"867421149126197300","chel705","2025-05-19T16:57:56.4660000+00:00","Try before judge","",""
"891545423238537236","murzzbow","2025-05-19T16:58:14.2670000+00:00","I did, and I still have AW chimkin on top","",""
"867421149126197300","chel705","2025-05-19T16:58:14.5900000+00:00","Kfc is bad","",""
"891545423238537236","murzzbow","2025-05-19T16:58:22.5720000+00:00","along with jatinangor","",""
