AuthorID,Author,Date,Content,Attachments,Reactions
"731408010232070165","darkzet","2025-03-22T11:58:49.4030000+00:00","People on Twitter are going CRAZY about it.
Now, because of the current drama, people are blaming the '02-ers' for mindlessly choosing controversial leaders in the first place.","",""
"321253105398448129","tavvymorningson","2025-03-22T12:17:41.5940000+00:00","imo, we need to educate them to not doing the same sh*t again. but people tend to feel exhausted if you know the students we’re ignorant or hard headed tbh.","",""
"185435194746994690","adi_onysus","2025-03-22T12:38:24.2740000+00:00","Ah, that’s the thing-it’s a democracy, which naturally comes with both pros and cons. From what I’ve gathered, the 02 voters I’ve spoken to mainly wanted stricter regulations, disciplined government and military personnel, and generally tougher governance. They didn’t anticipate the RUU TNI any more than other voters did.","",""
"265355459454566402","shiawase6946","2025-03-22T14:18:54.3510000+00:00","I voted for 02 and my intention was voting for lesser evil. And I must emphasize that I am not able to foresee the future","",""
"595261388579143712","owenzedd","2025-03-22T14:20:25.1120000+00:00","Are you aware of the guy's history and track record?","",""
"265355459454566402","shiawase6946","2025-03-22T14:21:26.7800000+00:00","Yes I am , but personally I do not like 01 for what he did in Jakarta, and I do not like PDIP","",""
"731408010232070165","darkzet","2025-03-22T15:00:21.9300000+00:00","what do you not like about him in Jakarta?","",""
"652524491364368385","ghoni_bin","2025-03-22T16:47:25.4080000+00:00","No, 02 voters didnt deserve the hate at all
We never know the reason 02 voters, and we never know if 01 and 03 will be better if they ever elected
Just look at mulyono, he was praised and have good rep, but he fucks the government

01 and 03 voters doesnt have the right to hate, do violence to 02 voter
And 02 voter doesnt need to defend prabowo, in fact they are the one who need to be the most critical to the policy

The bloods and the responsibility laid on the elected not on the voter","",""
"731408010232070165","darkzet","2025-03-22T16:49:23.2900000+00:00","fair point","",""
"781141435197161573","notanikiwastaken","2025-03-22T18:02:38.0520000+00:00","Some of them are bribed, but a lot of them aren't. Which begs the question, why vote him in the first place considering his past?","",""
"781141435197161573","notanikiwastaken","2025-03-22T18:03:15.2990000+00:00","A friend of mine even once said after the election ""Ya emangnya kenapa kalo belom diadili? Itu kan udah masalah lama"" which was a pretty braindead take imo","",""
