AuthorID,Author,Date,Content,Attachments,Reactions
"732898311651983371","19shrikes","2026-01-16T07:02:23.1600000+00:00","Changed the channel name: Labubu Headquarters","",""
"732898311651983371","19shrikes","2026-01-16T07:02:23.3380000+00:00","Changed the channel icon.","",""
"732898311651983371","19shrikes","2026-01-16T07:02:27.6950000+00:00","hey guys","",""
"732898311651983371","19shrikes","2026-01-16T07:08:19.6840000+00:00","Changed the channel icon.","",""
"679099137647575050","dustoflifespammer","2026-01-16T07:20:02.2010000+00:00","Labubu","",""
"679099137647575050","dustoflifespammer","2026-01-16T07:20:49.0450000+00:00","Changed the channel name: Kazakhstan","",""
"304186506220666880","dolfyrelith","2026-01-16T07:26:33.4390000+00:00","lachigga","",""
"304186506220666880","dolfyrelith","2026-01-16T07:27:49.5540000+00:00","i opened linkedin and this guy popped up first thing","https://cdn.discordapp.com/attachments/1461616552142176286/1461622960811937825/image.png?ex=699569f5&is=69941875&hm=42aa8a15b5337afa71b886a336f37af36c18f0da6a59fc68e0f6d3f657fa1dd4&",""
"679099137647575050","dustoflifespammer","2026-01-16T07:28:06.4830000+00:00","Crazy","",""
"732898311651983371","19shrikes","2026-01-16T07:37:43.1060000+00:00","WKWKWKW","",""
"304186506220666880","dolfyrelith","2026-01-16T11:34:09.5520000+00:00","https://x.com/hisbelovedsleep/status/2011954792050897314?s=20","",""
"679099137647575050","dustoflifespammer","2026-01-16T14:32:24.2330000+00:00","@dolfy do you think there might actually be something in 5G signals that are turning frogs gay?","",""
"304186506220666880","dolfyrelith","2026-01-16T14:33:48.7400000+00:00","i think 5g in huawei phones infected ppl with covid","",""
"679099137647575050","dustoflifespammer","2026-01-16T14:34:05.7550000+00:00","Hmmm","",""
"679099137647575050","dustoflifespammer","2026-01-16T14:34:10.2280000+00:00","Very plausible","",""
"679099137647575050","dustoflifespammer","2026-01-16T14:34:16.5040000+00:00","Them Chinese always up to something","",""
"304186506220666880","dolfyrelith","2026-01-16T14:35:04.1950000+00:00","https://youtu.be/RlxrccYb7XM?si=_L7PwLAl4RrvhfoW","",""
"732898311651983371","19shrikes","2026-01-17T02:58:53.8660000+00:00","😭","https://cdn.discordapp.com/attachments/1461616552142176286/1461917670642286793/Screenshot_20260117-095835.jpg?ex=69952aed&is=6993d96d&hm=7fbc665ad96368e2de184433a0654d4cc976852554a2dbd578bc60c667fa5e97&",""
"304186506220666880","dolfyrelith","2026-01-17T12:51:47.0180000+00:00","edinburgh","https://cdn.discordapp.com/attachments/1461616552142176286/1462066875189035184/6fcffdbc-187f-4724-b22a-44b505a9a445.png?ex=6995b5e2&is=69946462&hm=090e6adc34cabc10d85c7ab1040623c18313be0b7f15101aef70d839e1e73298&",""
"732898311651983371","19shrikes","2026-01-17T12:52:56.7250000+00:00","Why are you in Edinburgh","",""
"304186506220666880","dolfyrelith","2026-01-17T12:53:10.3840000+00:00","meet thomas shelby","",""
"732898311651983371","19shrikes","2026-01-18T13:18:11.7310000+00:00","Started a call that lasted 268 minutes.","",""
"732898311651983371","19shrikes","2026-01-18T14:09:34.6160000+00:00","https://www.youtube.com/watch?v=Gem14RiFXek&list=RDGem14RiFXek&start_radio=1","",""
"304186506220666880","dolfyrelith","2026-01-18T14:17:49.6000000+00:00","https://youtu.be/DyOsE9gKfKg?si=F3JNC8uj3unK6m3k","",""
"679099137647575050","dustoflifespammer","2026-01-20T11:14:11.8200000+00:00","","https://cdn.discordapp.com/attachments/1461616552142176286/1463129480582267036/Untitled_design.jpg?ex=69959f03&is=69944d83&hm=d651cb58d3272fbaadf4f83bd19a3010aab466f776aea43102615920c24e8800&",""
"304186506220666880","dolfyrelith","2026-01-20T12:29:37.9940000+00:00","hppy bday","https://cdn.discordapp.com/attachments/1461616552142176286/1463148464190783590/image.png?ex=6995b0b1&is=69945f31&hm=82dd02553f3d8f2bcd9ce8286618358326d0a7d431660a40a38f9e844dac6189&",""
"732898311651983371","19shrikes","2026-01-20T21:06:24.0820000+00:00","home","https://cdn.discordapp.com/attachments/1461616552142176286/1463278513493770385/2080E91.JPG?ex=69958110&is=69942f90&hm=2e8520e1da7446453266aafaf0c843a30e4fabeac0aa8f089102b62543ede587&",""
